hour,East,North,West,South
1,0,0,0,0
2,0,0,0,0
3,0,0,0,0
4,0,0,0,0
5,0,0,0,0
6,0,0,0,0
7,0,0,0,0
8,0.006,0,0,0.028
9,0.069,0.001,0.129,0.181
10,0.17,0.009,0.296,0.312
11,0.227,0.065,0.386,0.473
12,0.251,0.162,0.422,0.552
13,0.107,0.244,0.363,0.487
14,0.036,0.204,0.233,0.376
15,0.007,0.049,0.09,0.179
16,0,0,0,0.003
17,0,0,0,0
18,0,0,0,0
19,0,0,0,0
20,0,0,0,0
21,0,0,0,0
22,0,0,0,0
23,0,0,0,0
24,0,0,0,0
25,0,0,0,0
26,0,0,0,0
27,0,0,0,0
28,0,0,0,0
29,0,0,0,0
30,0,0,0,0
31,0,0,0,0
32,0.001,0,0,0.002
33,0.031,0.001,0.022,0.021
34,0.071,0.008,0.072,0.038
35,0.121,0.018,0.131,0.044
36,0.131,0.029,0.205,0.042
37,0.103,0.035,0.2,0.048
38,0.058,0.026,0.124,0.051
39,0.006,0.006,0.028,0.044
40,0,0,0,0.002
41,0,0,0,0
42,0,0,0,0
43,0,0,0,0
44,0,0,0,0
45,0,0,0,0
46,0,0,0,0
47,0,0,0,0
48,0,0,0,0
49,0,0,0,0
50,0,0,0,0
51,0,0,0,0
52,0,0,0,0
53,0,0,0,0
54,0,0,0,0
55,0,0,0,0
56,0,0,0,0.017
57,0.022,0.001,0.023,0.168
58,0.144,0.002,0.083,0.347
59,0.304,0.012,0.078,0.268
60,0.319,0.023,0.073,0.137
61,0.339,0.015,0.114,0.077
62,0.229,0.009,0.108,0.059
63,0.046,0.001,0.036,0.06
64,0,0,0,0.001
65,0,0,0,0
66,0,0,0,0
67,0,0,0,0
68,0,0,0,0
69,0,0,0,0
70,0,0,0,0
71,0,0,0,0
72,0,0,0,0
73,0,0,0,0
74,0,0,0,0
75,0,0,0,0
76,0,0,0,0
77,0,0,0,0
78,0,0,0,0
79,0,0,0,0
80,0.001,0,0,0.009
81,0.019,0.067,0.016,0.051
82,0.071,0.175,0.052,0.075
83,0.131,0.264,0.069,0.081
