Hour,PV,WindOnshore,WindOffshore
1,0,0.1553,0.6931
2,0,0.1533,0.6962
3,0,0.1538,0.6788
4,0,0.1567,0.6127
5,0,0.1548,0.5918
6,0,0.1398,0.482
7,0,0.1278,0.4049
8,0,0.1138,0.2899
9,0.0035,0.0973,0.1984
10,0.0248,0.0802,0.1351
11,0.0646,0.0601,0.0939
12,0.0966,0.0403,0.0531
13,0.1056,0.0281,0.0404
14,0.0952,0.0172,0.0254
15,0.0626,0.0109,0.0148
16,0.0216,0.0097,0.002
17,0.0013,0.0162,0.0006
18,0,0.0315,0.0015
19,0,0.05,0.0287
20,0,0.0756,0.0811
21,0,0.0919,0.186
22,0,0.1097,0.2763
23,0,0.1216,0.3627
24,0,0.1342,0.4421
25,0,0.1415,0.5046
26,0,0.1609,0.658
27,0,0.1999,0.7645
28,0,0.2246,0.831
29,0,0.26,0.8474
30,0,0.2882,0.8558
31,0,0.3087,0.8565
32,0,0.3232,0.8528
33,0.0027,0.3358,0.8544
34,0.0152,0.3541,0.8501
35,0.0344,0.3683,0.8441
36,0.0478,0.3776,0.8429
37,0.0524,0.3792,0.8423
38,0.0479,0.381,0.8395
39,0.0302,0.3845,0.8408
40,0.0098,0.3894,0.8436
41,0.0007,0.4007,0.837
42,0,0.4186,0.8317
43,0,0.4261,0.8303
44,0,0.4235,0.8302
45,0,0.4133,0.8316
46,0,0.4015,0.8298
47,0,0.3835,0.8282
48,0,0.3911,0.8289
49,0,0.395,0.826
50,0,0.3874,0.8213
51,0,0.3879,0.8167
52,0,0.3839,0.8177
53,0,0.3801,0.817
54,0,0.3808,0.814
55,0,0.3839,0.8125
56,0,0.3782,0.813
57,0.0017,0.3673,0.8149
58,0.0164,0.3542,0.8118
59,0.0422,0.3418,0.8098
60,0.0672,0.3164,0.8065
61,0.0782,0.2902,0.8095
62,0.0745,0.2849,0.8124
63,0.0482,0.2857,0.7878
64,0.0168,0.301,0.7699
65,0.0012,0.3122,0.7805
66,0,0.3341,0.79
67,0,0.3596,0.7722
68,0,0.3686,0.7673
69,0,0.3707,0.7712
70,0,0.3666,0.7741
71,0,0.3507,0.7801
72,0,0.3451,0.786
73,0,0.3368,0.79
74,0,0.319,0.7901
75,0,0.3032,0.7909
76,0,0.2878,0.7912
77,0,0.2685,0.7934
78,0,0.2574,0.7954
79,0,0.2596,0.8007
80,0,0.2543,0.8082
81,0.0018,0.2487,0.8118
82,0.0137,0.2326,0.8095
83,0.0346,0.2144,0.8106
84,0.0512,0.1929,0.8118
85,0.0571,0.183,0.8108
86,0.0514,0.1732,0.8117
87,0.0332,0.1725,0.8144
88,0.0137,0.1787,0.8166
89,0.0015,0.1858,0.8131
90,0,0.2008,0.8164
91,0,0.2052,0.8144
92,0,0.1993,0.8169
93,0,0.195,0.8182
94,0,0.1851,0.8185
95,0,0.1776,0.8179
96,0,0.1703,0.8184
97,0,0.1667,0.8185
98,0,0.1614,0.816
99,0,0.1588,0.8182
100,0,0.1584,0.8188
101,0,0.16,0.8196
102,0,0.163,0.8216
103,0,0.1629,0.8198
104,0,0.1617,0.8176
105,0.002,0.1599,0.8185
106,0.0155,0.1568,0.8076
107,0.0428,0.1512,0.7901
108,0.064,0.1422,0.7717
109,0.0752,0.1356,0.768
110,0.0621,0.1311,0.7654
111,0.0412,0.1328,0.7689
112,0.0172,0.1352,0.7632
113,0.0016,0.1367,0.7627
