Hour,Demand
1,47887
2,46366
3,44743
4,43356
5,42705
6,41977
7,40524
8,40775
9,41456
10,43790
11,46472
12,49587
13,50671
14,49961
15,48987
16,49073
17,51610
18,56244
19,56976
20,55927
21,53732
22,52512
23,52310
24,49471
25,46686
26,44700
27,43665
28,43459
29,44445
30,46045
31,48542
32,52463
33,56271
34,59416
35,61539
36,63180
37,63567
38,62530
39,61368
40,60892
41,62614
42,66033
43,66020
44,64002
45,60170
46,57871
47,56752
48,53361
49,49789
50,47450
51,45990
52,45479
53,45792
54,45993
55,46315
56,48946
57,52434
58,56011
59,58603
60,60607
61,60871
62,59928
63,59074
64,59093
65,60938
66,63900
67,63967
68,61827
69,58097
70,55705
71,54896
72,51941
73,48621
74,46336
75,45049
76,44356
77,44460
78,44076
79,43211
80,44728
81,47079
82,50376
83,53327
84,56615
85,56794
86,55141
87,53557
88,53212
89,55238
90,60171
91,61278
92,59917
93,57379
94,55746
95,55570
96,52423
97,49401
98,47348
99,46519
100,46673
101,47978
102,51196
103,56974
104,63231
105,66744
106,67913
107,69196
108,70311
109,70351
110,69439
111,68465
112,68009
113,69263
114,72985
115,72997
116,71135
117,66777
118,63788
119,61898
120,57459
121,54178
122,51816
123,50807
124,50867
125,51649
126,53448
127,57702
128,62783
129,65266
130,66544
131,68101
132,69380
133,69230
134,67858
135,66400
136,66080
137,67852
138,72188
139,72178
140,70641
141,66804
142,63833
143,61740
144,57731
145,54184
146,51797
147,51186
148,51512
149,52616
150,56109
151,64295
152,71351
153,74316
154,74506
155,75437
156,76347
157,75977
158,75273
159,74118
160,73454
161,74312
162,78027
163,77519
164,75424
165,71102
166,67626
167,65114
168,60161
169,56537
170,54113
171,53221
172,53534
173,54676
174,57585
175,65552
176,72753
177,75445
178,75641
179,76416
180,77360
181,76791
182,76326
183,75438
184,74999
185,75800
186,77826
187,77048
188,74820
189,70594
190,67026
191,63980
192,59087
193,55184
194,52967
195,52022
196,52331
197,53953
198,57237
199,65214
200,72419
201,75783
202,76039
203,76881
204,77682
205,76989
206,75538
207,73954
208,73398
209,74060
210,76628
211,75516
212,72690
213,68063
214,64494
215,61863
216,57537
217,53377
218,50587
219,49134
220,48855
221,48972
222,49075
223,50254
224,53866
225,57954
226,60799
227,62843
228,64646
229,64732
230,62963
231,61232
232,60403
233,61897
234,65819
235,66054
236,63841
237,59756
238,57521
239,56441
240,53162
241,49717
242,47442
243,46207
244,45940
245,46303
246,46084
247,45258
248,47085
249,50027
250,54056
251,57492
252,60605
253,60423
254,58864
255,57364
256,56986
257,58040
258,62814
259,64151
260,62568
261,59781
262,58071
263,58059
264,54700
265,51790
266,50121
267,49388
268,49852
269,51262
270,55602
271,65090
272,72848
273,75952
274,76289
275,77472
276,78298
277,78127
278,77654
279,76491
280,75867
281,76034
282,78373
283,77850
284,75585
285,71236
286,67714
287,64308
288,59350
289,55571
290,53369
291,52274
292,52780
293,54359
294,57886
295,66222
296,73548
297,75725
298,75095
299,75854
300,76396
301,76216
302,75238
303,73949
304,73246
305,73715
306,77384
307,77238
308,74856
309,70182
310,66424
311,63189
312,58137
313,54377
314,52080
315,51475
316,51991
317,53757
318,57422
319,65949
320,73503
321,75777
322,75717
323,76775
324,78218
325,77565
326,77001
327,76160
328,75099
329,75250
330,78253
331,78019
332,75878
333,71554
334,68054
335,65065
336,60294
337,56764
338,54831
339,53912
340,54298
341,55347
342,58544
343,66981
344,74203
345,76645
346,76507
347,77397
348,78078
349,77487
350,76837
351,75761
352,75033
353,75050
354,77993
355,77661
356,75535
357,71231
358,67518
359,64411
360,59468
361,55702
362,53188
363,52180
364,52699
365,54332
366,58243
367,66460
368,73878
369,76417
370,76142
371,76528
372,77143
373,76194
374,74742
375,73120
376,72010
377,72557
378,76033
379,75470
380,72938
381,68530
382,65081
383,62594
384,58354
385,54686
386,52378
387,51237
388,50856
389,51127
390,51009
391,51729
392,55351
393,59447
394,62899
395,65010
396,66020
397,65006
398,63028
399,61106
400,60277
401,61128
402,65743
403,66619
404,64455
405,60374
406,58004
407,57259
408,53930
409,50757
410,48969
411,47752
412,47197
413,47001
414,46464
415,45802
416,47693
417,50646
418,54474
419,57745
420,61080
421,60730
422,58222
423,56189
424,55413
425,56439
426,61905
427,63764
428,62486
429,59810
430,58233
431,58570
432,55704
433,52896
434,51179
435,50495
436,50828
437,52445
438,56503
439,65662
440,73567
441,76163
442,76425
443,77478
444,78352
445,77825
446,77300
447,76241
448,75600
449,75417
450,78607
451,78488
452,76500
453,72066
454,68617
455,65589
456,61098
457,57919
458,55854
459,54842
460,55231
461,56390
462,59674
463,67592
464,74803
465,77423
466,77581
467,78624
468,79253
469,78591
470,78093
471,77028
472,76322
473,75746
474,79139
475,78815
476,76693
477,72690
478,69109
479,66016
480,61749
481,58670
482,56482
483,55534
484,55925
485,56968
486,60166
487,68025
488,75234
489,77553
490,77428
491,78254
492,78889
493,78107
494,77408
495,76317
496,75646
497,75629
498,79054
499,79216
500,77168
501,72848
502,69362
503,66426
504,62138
505,58875
506,56712
507,55662
508,55637
509,56725
510,59825
511,67582
512,75122
513,77550
514,77879
515,78855
516,79615
517,78821
518,78352
519,77589
520,76877
521,76511
522,79186
523,79082
524,76869
525,72648
526,69128
527,66502
528,61932
529,58665
530,56550
531,55526
532,55807
533,56897
534,59845
535,67336
536,74744
537,77453
538,77644
539,78664
540,79222
541,78338
542,77161
543,75819
544,74909
545,74866
546,77771
547,77354
548,74687
549,70298
550,66911
551,64697
552,61251
553,58152
554,55669
555,54184
556,53663
557,53365
558,53055
559,53473
560,57123
561,60876
562,64504
563,66980
564,68336
565,67657
566,65315
567,63680
568,62786
569,63152
570,67263
571,68107
572,65882
573,61847
574,59308
575,58749
576,55761
577,52622
578,50408
579,49173
580,48499
581,48247
582,47632
583,46640
584,48399
585,51336
586,55445
587,58710
588,61425
589,61142
590,59167
591,57711
592,57075
593,57854
594,62721
595,64744
596,63275
597,60639
598,59198
599,59380
600,56384
601,53453
602,51575
603,50951
604,51265
605,52967
606,57075
607,66488
608,73964
609,76646
610,77075
611,78449
612,79748
613,79433
614,78642
615,77428
616,76603
617,76057
618,78782
619,78719
620,76692
621,72265
622,68884
623,66095
624,61743
625,58427
626,56333
627,55288
628,55450
629,56618
630,59920
631,67898
632,75037
633,76895
634,76801
635,77709
636,78549
637,78072
638,77634
639,76527
640,75539
641,74661
642,77456
643,78231
644,76471
645,71931
646,68398
647,65385
648,60801
649,57550
650,55188
651,54094
652,54321
653,55793
654,59160
655,67148
656,74415
657,76599
658,76930
659,78031
660,79093
661,78756
662,78273
663,77087
664,76595
665,76261
666,79124
667,79287
668,76939
669,72458
670,69234
671,66185
672,61673
673,58171
674,56241
675,55531
676,55862
677,56919
678,59920
679,67806
680,74965
681,76917
682,77535
683,78827
684,79314
685,78221
686,77416
687,76331
688,75194
689,74142
690,77267
691,78002
692,75971
693,71436
694,68012
695,65180
696,60670
697,57323
698,55185
699,54535
700,54843
701,56131
702,59135
703,66713
704,73700
705,76084
706,76308
707,77039
708,77857
709,77004
710,75398
711,73866
712,72770
713,72166
714,75379
715,76195
716,74042
717,69764
718,66309
719,64298
720,60618
721,56800
722,54282
723,52960
724,52321
725,52264
726,51776
727,52028
728,55376
729,59287
730,62764
731,64683
732,65616
733,64577
734,62384
735,61000
736,60341
737,60530
738,64671
739,66627
740,64313
741,60452
742,58152
743,57481
744,54405
745,51769
746,49532
747,48231
748,47742
749,47497
750,46923
751,46006
752,47879
753,51099
754,54955
755,57635
756,60196
757,59873
758,57909
759,56528
760,55982
761,56394
762,61032
763,64075
764,62878
765,60230
766,58944
767,59139
768,56437
769,53940
770,52173
771,51473
772,51756
773,53541
774,57495
775,66040
776,73487
777,75767
778,76540
779,77631
780,78906
781,78263
782,77586
783,76615
784,75614
785,74768
786,77603
787,79017
788,77248
789,72989
790,69706
791,67050
792,62551
793,59567
794,57506
795,56703
796,56923
797,58025
798,60867
799,68291
800,74830
801,77063
802,77374
803,78197
804,78881
805,78283
806,77397
807,76254
808,75323
809,74286
810,77473
811,79407
812,77665
813,73648
814,70090
815,67439
816,63395
817,60451
818,58436
819,57492
820,57536
821,58535
822,61645
823,69205
824,75878
825,77676
826,77963
827,78716
828,79422
829,78548
830,77796
831,76768
832,75824
833,74902
834,77895
835,79962
836,78198
837,73892
838,70467
839,67953
840,63807
841,60534
842,58509
843,57427
844,57421
845,58316
846,61367
847,68889
848,75736
849,77773
850,77980
851,78373
852,78548
853,77913
854,77476
855,76344
856,75819
857,74960
858,77726
859,79668
860,77999
861,73792
862,70369
863,67839
864,63885
865,60711
866,58620
867,57589
868,57609
869,58519
870,61298
871,68689
872,75463
873,77575
874,77961
875,78242
876,78471
877,77171
878,75345
879,73821
880,72775
881,72187
882,75174
883,77537
884,75321
885,71205
886,67750
887,66002
888,62677
889,59678
890,57609
891,56057
892,55250
893,54927
894,54365
895,54565
896,57516
897,61128
898,64350
899,66039
900,66752
901,65887
902,63943
903,62415
904,61996
905,62198
906,65506
907,68607
908,66495
909,62685
910,60131
911,59586
912,56459
913,53659
914,51479
915,50208
916,49566
917,49247
918,48559
919,47589
920,49047
921,52535
922,56486
923,58925
924,61248
925,60582
926,57980
927,56358
928,55506
929,55871
930,60071
931,65162
932,64032
933,61446
934,59931
935,60281
936,57312
937,54803
938,53288
939,52515
940,52840
941,54153
942,58034
943,66886
944,73947
945,76497
946,77416
947,78422
948,79434
949,78919
950,78576
951,77474
952,76435
953,75382
954,77422
955,79186
956,77427
957,72942
958,69410
959,66536
960,61837
961,58309
962,56186
963,55119
964,55401
965,56762
966,60133
967,68477
968,75053
969,76993
970,77186
971,78241
972,78927
973,78430
974,78117
975,77085
976,75998
977,74834
978,76734
979,78911
980,76971
981,72725
982,69118
983,66295
984,61570
985,58045
986,55914
987,55057
988,55422
989,56655
990,59847
991,67937
992,74582
993,76881
994,77489
995,78472
996,78943
997,78077
998,77174
999,75898
1000,74843
1001,73681
1002,75862
1003,79130
1004,77516
1005,72986
1006,69367
1007,66888
1008,62429
1009,59287
1010,57261
1011,56348
1012,56547
1013,57589
1014,60639
1015,68189
1016,74525
1017,76707
1018,77191
1019,77848
1020,78385
1021,77452
1022,76431
1023,75309
1024,74200
1025,72930
1026,74910
1027,78001
1028,76386
1029,72280
1030,68776
1031,66409
1032,62498
1033,59239
1034,57198
1035,56228
1036,56390
1037,57576
1038,60338
1039,67182
1040,73194
1041,75460
1042,76141
1043,76727
1044,76800
1045,75550
1046,74087
1047,72092
1048,70737
1049,70018
1050,72627
1051,76264
1052,74563
1053,70010
1054,66599
1055,64519
1056,60905
1057,57464
1058,55129
1059,53646
1060,53131
1061,53121
1062,52906
1063,53276
1064,56138
1065,59716
1066,62963
1067,64494
1068,65047
1069,63617
1070,61409
1071,59537
1072,58728
1073,58776
1074,62072
1075,66414
1076,64682
1077,61027
1078,58707
1079,58020
1080,54865
1081,51948
1082,50090
1083,49191
1084,48765
1085,48625
1086,47930
1087,47173
1088,48520
1089,52041
1090,55291
1091,57642
1092,59767
1093,58631
1094,56005
1095,54202
1096,53140
1097,53559
1098,57479
1099,62594
1100,61778
1101,59425
1102,58130
1103,58555
1104,55825
1105,53309
1106,51544
1107,50953
1108,51364
1109,52563
1110,55939
1111,62776
1112,68643
1113,71904
1114,73334
1115,74501
1116,75163
1117,74267
1118,72771
1119,71177
1120,70012
1121,69058
1122,71301
1123,75463
1124,74274
1125,70136
1126,67089
1127,65091
1128,61355
1129,58066
1130,56117
1131,55117
1132,55346
1133,56400
1134,59172
1135,66034
1136,71901
1137,74632
1138,75882
1139,77095
1140,78137
1141,77450
1142,76267
1143,74889
1144,73815
1145,73004
1146,75009
1147,77509
1148,75907
1149,71651
1150,68333
1151,65785
1152,61424
1153,58148
1154,55910
1155,54806
1156,55242
1157,56548
1158,59771
1159,67249
1160,73391
1161,76090
1162,76839
1163,77557
1164,78189
1165,77286
1166,76406
1167,75146
1168,74083
1169,72829
1170,74479
1171,78134
1172,77052
1173,72743
1174,69323
1175,66422
1176,61974
1177,58682
1178,56816
1179,56071
1180,56259
1181,57436
1182,60376
1183,67490
1184,73462
1185,75683
1186,76215
1187,76652
1188,77545
1189,76275
1190,75573
1191,74421
1192,72987
1193,71562
1194,73222
1195,77796
1196,77010
1197,72362
1198,69042
1199,66407
1200,62051
1201,59157
1202,57203
1203,56087
1204,56165
1205,57265
1206,60121
1207,66999
1208,72974
1209,74949
1210,75381
1211,76145
1212,76484
1213,75640
1214,74004
1215,71938
1216,70660
1217,70071
1218,72113
1219,75541
1220,73846
1221,69130
1222,65622
1223,63316
1224,58985
1225,54767
1226,52572
1227,51046
1228,50765
1229,50966
1230,51303
1231,52272
1232,55433
1233,59262
1234,62592
1235,64769
1236,66037
1237,64988
1238,62572
1239,60632
1240,59623
1241,59238
1242,61227
1243,65194
1244,63902
1245,60152
1246,57848
1247,57457
1248,54509
1249,51067
1250,48875
1251,47867
1252,47469
1253,47504
1254,46954
1255,46211
1256,47689
1257,50867
1258,54546
1259,57182
1260,59539
1261,58818
1262,56647
1263,55076
1264,54041
1265,54088
1266,57280
1267,63201
1268,63097
1269,60509
1270,59076
1271,59196
1272,56221
1273,53461
1274,51964
1275,51493
1276,51961
1277,53702
1278,57557
1279,66502
1280,72617
1281,75444
1282,76540
1283,77468
1284,78628
1285,77850
1286,77165
1287,75945
1288,74612
1289,73467
1290,74463
1291,77678
1292,76485
1293,72320
1294,68567
1295,65651
1296,61094
1297,58005
1298,55900
1299,55143
1300,55536
1301,57035
1302,60111
1303,67990
1304,73434
1305,75492
1306,75743
1307,76579
1308,77583
1309,76849
1310,76274
1311,75050
1312,73874
1313,72679
1314,73739
1315,77632
1316,76716
1317,72456
1318,68898
1319,65865
1320,61190
1321,57895
1322,55784
1323,54700
1324,55166
1325,56433
1326,59751
1327,67613
1328,73062
1329,74855
1330,74767
1331,75409
1332,76381
1333,75656
1334,74735
1335,73481
1336,72501
1337,71251
1338,72424
1339,76701
1340,76039
1341,71840
1342,68368
1343,65328
1344,60766
1345,57295
1346,55334
1347,54519
1348,54835
1349,56092
1350,59546
1351,67483
1352,72521
1353,74364
1354,74432
1355,74738
1356,75300
1357,74858
1358,74283
1359,73021
1360,72193
1361,70888
1362,72040
1363,76755
1364,76543
1365,72250
1366,68541
1367,65300
1368,60549
1369,57016
1370,54991
1371,54021
1372,54497
1373,56081
1374,59272
1375,67157
1376,72730
1377,75251
1378,75672
1379,76212
1380,76755
1381,75826
1382,74510
1383,72683
1384,71724
1385,70764
1386,71599
1387,74810
1388,73842
1389,69554
1390,66093
1391,63684
1392,59594
1393,56000
1394,53934
1395,52732
1396,52354
1397,52158
1398,52065
1399,52844
1400,55735
1401,59261
1402,62149
1403,63685
1404,64597
1405,63447
1406,60697
1407,59011
1408,58064
1409,57688
1410,59547
1411,65031
1412,65004
1413,61204
1414,58162
1415,56769
1416,53517
1417,50224
1418,48205
1419,47185
1420,46925
1421,46897
1422,46527
1423,46166
1424,47744
1425,51238
1426,54777
1427,57336
1428,59900
1429,58986
1430,56809
1431,55045
1432,54214
1433,53934
1434,56048
1435,61140
1436,60860
1437,58308
1438,56369
1439,56279
1440,52837
1441,50153
1442,48623
1443,48218
1444,48961
1445,51242
1446,55878
1447,65128
1448,70959
1449,73479
1450,74220
1451,75312
1452,76426
1453,75353
1454,74847
1455,73603
1456,72991
1457,71649
1458,72378
1459,75655
1460,75290
1461,71014
1462,67522
1463,64756
1464,60218
1465,57034
1466,55070
1467,54380
1468,54803
1469,56137
1470,59219
1471,66940
1472,71887
1473,73845
1474,74051
1475,74941
1476,75973
1477,75230
1478,74378
1479,73179
1480,72128
1481,70905
1482,72063
1483,75574
1484,75263
1485,71023
1486,67326
1487,64317
1488,59560
1489,56182
1490,54284
1491,53472
1492,54159
1493,55709
1494,59151
1495,67056
1496,71966
1497,73889
1498,74239
1499,75452
1500,76192
1501,75763
1502,75250
1503,74141
1504,73274
1505,71919
1506,72330
1507,76061
1508,76269
1509,71881
1510,68238
1511,65001
1512,60271
1513,56959
1514,54827
1515,54010
1516,54486
1517,55609
1518,59165
1519,66872
1520,71983
1521,74293
1522,74793
1523,75755
1524,76334
1525,75295
1526,74890
1527,73807
1528,72596
1529,70916
1530,71578
1531,75297
1532,75595
1533,71407
1534,67730
1535,64752
1536,60176
1537,56689
1538,54659
1539,53938
1540,54342
1541,55824
1542,59065
1543,66550
1544,71754
1545,74414
1546,74846
1547,75537
1548,75985
1549,75094
1550,73398
1551,71831
1552,70569
1553,69492
1554,70048
1555,73110
1556,72867
1557,68501
1558,65073
1559,62480
1560,58504
1561,55024
1562,52774
1563,51649
1564,51554
1565,51899
1566,52278
1567,52851
1568,55178
1569,58738
1570,61770
1571,63236
1572,63728
1573,62642
1574,60264
1575,58191
1576,56580
1577,56049
1578,57770
1579,63003
1580,63785
1581,59807
1582,56638
1583,55398
1584,51851
1585,48469
1586,46293
1587,45222
1588,45202
1589,45555
1590,45587
1591,44833
1592,46434
1593,50008
1594,53339
1595,54954
1596,56206
