"","BNL_pv_national_current","BNL_wind_onshore_current","BNL_wind_offshore_current","DE_pv_national_current","DE_wind_onshore_current","DE_wind_offshore_current","DK_pv_national_current","DK_wind_onshore_current","DK_wind_offshore_current","FR_pv_national_current","FR_wind_onshore_current","FR_wind_offshore_current","GB_pv_national_current","GB_wind_onshore_current","GB_wind_offshore_current","IBE_pv_national_current","IBE_wind_onshore_current","BNL_load_entsoe_power_statistics","DE_load_entsoe_power_statistics","DK_load_entsoe_power_statistics","FR_load_entsoe_power_statistics","GB_load_entsoe_power_statistics","IBE_load_entsoe_power_statistics"
"262969",0,0.219657,0.5148981,0,0.1566,0.703,0,0.4236,0.5928,0,0.1257,0.5899,0,0.6827,0.7529,0,0.3535675,20910,44546,3209,71077,29059,29665
"262970",0,0.211924,0.5122086,0,0.1659,0.6875,0,0.4317,0.5769,0,0.1234,0.5705,0,0.6759,0.7395,0,0.3541725,20065,42967,3075,68774,28663,27736
"262971",0,0.2222882,0.5326322,0,0.1746,0.6535,0,0.442,0.6154,0,0.124,0.5279,0,0.6666,0.7465,0,0.3361645,19272,41582,2935,65695,26626,25918
"262972",0,0.2394284,0.5435304,0,0.1745,0.6803,0,0.4623,0.6354,0,0.1302,0.5033,0,0.6562,0.7479,0,0.3089765,18718,40964,2871,64020,24778,24612
"262973",0,0.249757,0.5295036,0,0.1826,0.7272,0,0.5003,0.6622,0,0.1398,0.525,0,0.6532,0.734,0,0.285973,18583,40247,2898,64195,23212,24083
"262974",0,0.2579072,0.5515183,0,0.1869,0.749,0,0.5322,0.6972,0,0.1366,0.5091,0,0.6397,0.7358,0,0.2728585,18757,38808,3020,64429,22751,24094
"262975",0,0.276211,0.5881482,0,0.1999,0.7706,0,0.5897,0.7388,0,0.129,0.4669,0,0.5977,0.765,0,0.2664125,18814,39045,3152,64772,23292,24428
"262976",0,0.2963296,0.6094651,0.0047,0.212,0.801,0,0.6466,0.7936,0.0111,0.1356,0.4639,0,0.5906,0.7949,0.0061685,0.25992,19096,39721,3262,64284,23712,23883
"262977",0.0271006,0.353876,0.6229701,0.066,0.2281,0.7828,0.0022,0.6436,0.7863,0.1521,0.1526,0.5913,2e-04,0.6058,0.8393,0.192901,0.2347915,19537,42031,3465,65369,24529,24618
"262978",0.1329808,0.3426668,0.6121068,0.1555,0.2452,0.7865,0.0044,0.6246,0.7855,0.3019,0.1412,0.4844,0.005,0.6658,0.8721,0.37427,0.1443045,20328,44661,3594,66182,27103,26632
