utc_timestamp,cet_cest_timestamp,interpolated_values,DE_load_entsoe_power_statistics,DK_load_entsoe_power_statistics,ES_load_entsoe_power_statistics,FR_load_entsoe_power_statistics,GB_load_entsoe_power_statistics
2015-01-01T00:00:00Z,2015-01-01T01:00:00+0100,,44546,3209,24382,71077,29059
2015-01-01T01:00:00Z,2015-01-01T02:00:00+0100,,42967,3075,22734,68774,28663
2015-01-01T02:00:00Z,2015-01-01T03:00:00+0100,,41582,2935,21286,65695,26626
2015-01-01T03:00:00Z,2015-01-01T04:00:00+0100,,40964,2871,20264,64020,24778
2015-01-01T04:00:00Z,2015-01-01T05:00:00+0100,,40247,2898,19905,64195,23212
2015-01-01T05:00:00Z,2015-01-01T06:00:00+0100,,38808,3020,20010,64429,22751
2015-01-01T06:00:00Z,2015-01-01T07:00:00+0100,,39045,3152,20377,64772,23292
2015-01-01T07:00:00Z,2015-01-01T08:00:00+0100,,39721,3262,20094,64284,23712
2015-01-01T08:00:00Z,2015-01-01T09:00:00+0100,,42031,3465,20637,65369,24529
2015-01-01T09:00:00Z,2015-01-01T10:00:00+0100,,44661,3594,22250,66182,27103
2015-01-01T10:00:00Z,2015-01-01T11:00:00+0100,,47702,3761,23547,66927,30054
2015-01-01T11:00:00Z,2015-01-01T12:00:00+0100,,48784,3835,24133,68576,32383
2015-01-01T12:00:00Z,2015-01-01T13:00:00+0100,,48064,3868,24713,65129,33930
2015-01-01T13:00:00Z,2015-01-01T14:00:00+0100,,47094,3887,24672,62252,34249
2015-01-01T14:00:00Z,2015-01-01T15:00:00+0100,,47165,4001,23528,61256,34244
2015-01-01T15:00:00Z,2015-01-01T16:00:00+0100,,49669,4254,23118,62409,34916
2015-01-01T16:00:00Z,2015-01-01T17:00:00+0100,,54197,4510,23606,68873,37424
2015-01-01T17:00:00Z,2015-01-01T18:00:00+0100,,54914,4453,26447,71733,38506
2015-01-01T18:00:00Z,2015-01-01T19:00:00+0100,,53908,4235,28020,72126,37202
2015-01-01T19:00:00Z,2015-01-01T20:00:00+0100,,51779,4028,29014,70420,35424
2015-01-01T20:00:00Z,2015-01-01T21:00:00+0100,,50575,3852,29571,68039,33504
2015-01-01T21:00:00Z,2015-01-01T22:00:00+0100,,50384,3617,29031,71474,30940
2015-01-01T22:00:00Z,2015-01-01T23:00:00+0100,,47620,3552,26798,70438,28706
2015-01-01T23:00:00Z,2015-01-02T00:00:00+0100,,44909,3344,24298,66405,25986
2015-01-02T00:00:00Z,2015-01-02T01:00:00+0100,,43001,3191,21881,65826,25285
2015-01-02T01:00:00Z,2015-01-02T02:00:00+0100,,41999,3151,20495,63801,24619
2015-01-02T02:00:00Z,2015-01-02T03:00:00+0100,,41796,3157,19730,61680,23635
2015-01-02T03:00:00Z,2015-01-02T04:00:00+0100,,42736,3184,19500,61425,22659
2015-01-02T04:00:00Z,2015-01-02T05:00:00+0100,,44305,3286,20113,63606,21989
2015-01-02T05:00:00Z,2015-01-02T06:00:00+0100,,46731,3627,22153,66565,22617
2015-01-02T06:00:00Z,2015-01-02T07:00:00+0100,"EE_solar_generation_actual | EE_wind_onshore_generation_actual",50523,3974,24970,69214,25345
2015-01-02T07:00:00Z,2015-01-02T08:00:00+0100,"EE_solar_generation_actual | EE_wind_onshore_generation_actual",54246,4304,27964,70408,28573
2015-01-02T08:00:00Z,2015-01-02T09:00:00+0100,,57321,4486,30714,72246,31410
2015-01-02T09:00:00Z,2015-01-02T10:00:00+0100,,59405,4589,32383,72934,34047
2015-01-02T10:00:00Z,2015-01-02T11:00:00+0100,,61014,4551,32358,73696,34946
2015-01-02T11:00:00Z,2015-01-02T12:00:00+0100,,61406,4469,31822,74507,35371
2015-01-02T12:00:00Z,2015-01-02T13:00:00+0100,,60400,4448,31938,71305,35366
2015-01-02T13:00:00Z,2015-01-02T14:00:00+0100,,59251,4412,31182,68610,35281
2015-01-02T14:00:00Z,2015-01-02T15:00:00+0100,,58771,4430,30184,66735,35831
2015-01-02T15:00:00Z,2015-01-02T16:00:00+0100,,60446,4738,29877,67243,37185
2015-01-02T16:00:00Z,2015-01-02T17:00:00+0100,,63764,5137,30409,72970,41869
2015-01-02T17:00:00Z,2015-01-02T18:00:00+0100,,63786,5044,32927,75274,44677
2015-01-02T18:00:00Z,2015-01-02T19:00:00+0100,"FI_load_entsoe_transparency | FI_wind_onshore_generation_actual",61814,4659,33680,73566,43752
2015-01-02T19:00:00Z,2015-01-02T20:00:00+0100,,58087,4310,33955,70065,41457
2015-01-02T20:00:00Z,2015-01-02T21:00:00+0100,,55864,4068,33851,67083,38576
2015-01-02T21:00:00Z,2015-01-02T22:00:00+0100,,54783,3795,32324,70339,35637
2015-01-02T22:00:00Z,2015-01-02T23:00:00+0100,,51472,3687,29866,69372,32479
2015-01-02T23:00:00Z,2015-01-03T00:00:00+0100,,47963,3489,27243,65046,29461
2015-01-03T00:00:00Z,2015-01-03T01:00:00+0100,,45677,3341,24723,64021,28302
2015-01-03T01:00:00Z,2015-01-03T02:00:00+0100,,44246,3254,22861,61475,27608
2015-01-03T02:00:00Z,2015-01-03T03:00:00+0100,,43742,3191,21963,58797,26248
2015-01-03T03:00:00Z,2015-01-03T04:00:00+0100,,44028,3142,21540,57938,25167
2015-01-03T04:00:00Z,2015-01-03T05:00:00+0100,,44209,3199,21642,58959,24327
2015-01-03T05:00:00Z,2015-01-03T06:00:00+0100,,44531,3385,22434,60587,24596
