utc_timestamp,cet_cest_timestamp,interpolated_values,BE_load_entsoe_power_statistics,DE_load_entsoe_power_statistics,DK_load_entsoe_power_statistics,ES_load_entsoe_power_statistics,FR_load_entsoe_power_statistics,GB_load_entsoe_power_statistics,LU_load_entsoe_power_statistics,NL_load_entsoe_power_statistics,PT_load_entsoe_power_statistics
2015-01-01T00:00:00Z,2015-01-01T01:00:00+0100,,9094,44546,3209,24382,71077,29059,478,11338,5283
2015-01-01T01:00:00Z,2015-01-01T02:00:00+0100,,8691,42967,3075,22734,68774,28663,457,10917,5002
2015-01-01T02:00:00Z,2015-01-01T03:00:00+0100,,8354,41582,2935,21286,65695,26626,445,10473,4632
2015-01-01T03:00:00Z,2015-01-01T04:00:00+0100,,8080,40964,2871,20264,64020,24778,438,10200,4348
2015-01-01T04:00:00Z,2015-01-01T05:00:00+0100,,7965,40247,2898,19905,64195,23212,436,10182,4178
2015-01-01T05:00:00Z,2015-01-01T06:00:00+0100,,8005,38808,3020,20010,64429,22751,435,10317,4084
2015-01-01T06:00:00Z,2015-01-01T07:00:00+0100,,7749,39045,3152,20377,64772,23292,449,10616,4051
2015-01-01T07:00:00Z,2015-01-01T08:00:00+0100,,7769,39721,3262,20094,64284,23712,452,10875,3789
2015-01-01T08:00:00Z,2015-01-01T09:00:00+0100,,7860,42031,3465,20637,65369,24529,452,11225,3981
2015-01-01T09:00:00Z,2015-01-01T10:00:00+0100,,8092,44661,3594,22250,66182,27103,468,11768,4382
2015-01-01T10:00:00Z,2015-01-01T11:00:00+0100,,8346,47702,3761,23547,66927,30054,487,12241,4766
2015-01-01T11:00:00Z,2015-01-01T12:00:00+0100,,8533,48784,3835,24133,68576,32383,502,12375,5094
2015-01-01T12:00:00Z,2015-01-01T13:00:00+0100,,8483,48064,3868,24713,65129,33930,494,12433,5146
2015-01-01T13:00:00Z,2015-01-01T14:00:00+0100,,8365,47094,3887,24672,62252,34249,489,12492,4802
2015-01-01T14:00:00Z,2015-01-01T15:00:00+0100,,8424,47165,4001,23528,61256,34244,489,12467,4660
2015-01-01T15:00:00Z,2015-01-01T16:00:00+0100,,8595,49669,4254,23118,62409,34916,501,12907,4622
2015-01-01T16:00:00Z,2015-01-01T17:00:00+0100,,9265,54197,4510,23606,68873,37424,544,14056,4754
