Hour,Zone1,Zone2
1,0.1553,0.1553
2,0.1533,0.1533
3,0.1538,0.1538
4,0.1567,0.1567
5,0.1548,0.1548
6,0.1398,0.1398
7,0.1278,0.1278
8,0.1138,0.1138
9,0.0973,0.0973
10,0.0802,0.0802
11,0.0601,0.0601
12,0.0403,0.0403
13,0.0281,0.0281
14,0.0172,0.0172
15,0.0109,0.0109
16,0.0097,0.0097
17,0.0162,0.0162
18,0.0315,0.0315
19,0.05,0.05
20,0.0756,0.0756
21,0.0919,0.0919
22,0.1097,0.1097
23,0.1216,0.1216
24,0.1342,0.1342
25,0.1415,0.1415
26,0.1609,0.1609
27,0.1999,0.1999
28,0.2246,0.2246
29,0.26,0.26
30,0.2882,0.2882
31,0.3087,0.3087
32,0.3232,0.3232
33,0.3358,0.3358
34,0.3541,0.3541
35,0.3683,0.3683
36,0.3776,0.3776
37,0.3792,0.3792
38,0.381,0.381
39,0.3845,0.3845
40,0.3894,0.3894
41,0.4007,0.4007
42,0.4186,0.4186
43,0.4261,0.4261
44,0.4235,0.4235
45,0.4133,0.4133
46,0.4015,0.4015
47,0.3835,0.3835
48,0.3911,0.3911
49,0.395,0.395
50,0.3874,0.3874
51,0.3879,0.3879
52,0.3839,0.3839
53,0.3801,0.3801
54,0.3808,0.3808
55,0.3839,0.3839
56,0.3782,0.3782
57,0.3673,0.3673
58,0.3542,0.3542
59,0.3418,0.3418
60,0.3164,0.3164
61,0.2902,0.2902
62,0.2849,0.2849
63,0.2857,0.2857
64,0.301,0.301
65,0.3122,0.3122
66,0.3341,0.3341
67,0.3596,0.3596
68,0.3686,0.3686
69,0.3707,0.3707
70,0.3666,0.3666
71,0.3507,0.3507
72,0.3451,0.3451
73,0.3368,0.3368
74,0.319,0.319
75,0.3032,0.3032
76,0.2878,0.2878
77,0.2685,0.2685
78,0.2574,0.2574
79,0.2596,0.2596
80,0.2543,0.2543
81,0.2487,0.2487
82,0.2326,0.2326
83,0.2144,0.2144
84,0.1929,0.1929
85,0.183,0.183
86,0.1732,0.1732
87,0.1725,0.1725
88,0.1787,0.1787
89,0.1858,0.1858
90,0.2008,0.2008
91,0.2052,0.2052
92,0.1993,0.1993
93,0.195,0.195
94,0.1851,0.1851
95,0.1776,0.1776
96,0.1703,0.1703
97,0.1667,0.1667
98,0.1614,0.1614
99,0.1588,0.1588
100,0.1584,0.1584
101,0.16,0.16
102,0.163,0.163
103,0.1629,0.1629
104,0.1617,0.1617
105,0.1599,0.1599
106,0.1568,0.1568
107,0.1512,0.1512
