Hour,Zone1,Zone2
1,47887,47887
2,46366,46366
3,44743,44743
4,43356,43356
5,42705,42705
6,41977,41977
7,40524,40524
8,40775,40775
9,41456,41456
10,43790,43790
11,46472,46472
12,49587,49587
13,50671,50671
14,49961,49961
15,48987,48987
16,49073,49073
17,51610,51610
18,56244,56244
19,56976,56976
20,55927,55927
21,53732,53732
22,52512,52512
23,52310,52310
24,49471,49471
25,46686,46686
26,44700,44700
27,43665,43665
28,43459,43459
29,44445,44445
30,46045,46045
31,48542,48542
32,52463,52463
33,56271,56271
34,59416,59416
35,61539,61539
36,63180,63180
37,63567,63567
38,62530,62530
39,61368,61368
40,60892,60892
41,62614,62614
42,66033,66033
43,66020,66020
44,64002,64002
45,60170,60170
46,57871,57871
47,56752,56752
48,53361,53361
49,49789,49789
50,47450,47450
51,45990,45990
52,45479,45479
53,45792,45792
54,45993,45993
55,46315,46315
56,48946,48946
57,52434,52434
58,56011,56011
59,58603,58603
60,60607,60607
61,60871,60871
62,59928,59928
63,59074,59074
64,59093,59093
65,60938,60938
66,63900,63900
67,63967,63967
68,61827,61827
69,58097,58097
70,55705,55705
71,54896,54896
72,51941,51941
73,48621,48621
74,46336,46336
75,45049,45049
76,44356,44356
77,44460,44460
78,44076,44076
79,43211,43211
80,44728,44728
81,47079,47079
82,50376,50376
83,53327,53327
84,56615,56615
85,56794,56794
86,55141,55141
87,53557,53557
88,53212,53212
89,55238,55238
90,60171,60171
91,61278,61278
92,59917,59917
93,57379,57379
94,55746,55746
95,55570,55570
96,52423,52423
97,49401,49401
98,47348,47348
99,46519,46519
100,46673,46673
101,47978,47978
102,51196,51196
103,56974,56974
104,63231,63231
105,66744,66744
106,67913,67913
107,69196,69196
108,70311,70311
109,70351,70351
110,69439,69439
111,68465,68465
112,68009,68009
113,69263,69263
114,72985,72985
115,72997,72997
116,71135,71135
117,66777,66777
118,63788,63788
119,61898,61898
120,57459,57459
121,54178,54178
122,51816,51816
123,50807,50807
124,50867,50867
125,51649,51649
126,53448,53448
127,57702,57702
128,62783,62783
129,65266,65266
130,66544,66544
131,68101,68101
132,69380,69380
133,69230,69230
134,67858,67858
135,66400,66400
136,66080,66080
137,67852,67852
138,72188,72188
139,72178,72178
140,70641,70641
141,66804,66804
142,63833,63833
143,61740,61740
144,57731,57731
145,54184,54184
146,51797,51797
147,51186,51186
148,51512,51512
149,52616,52616
150,56109,56109
151,64295,64295
152,71351,71351
153,74316,74316
154,74506,74506
155,75437,75437
156,76347,76347
157,75977,75977
158,75273,75273
159,74118,74118
160,73454,73454
161,74312,74312
162,78027,78027
163,77519,77519
164,75424,75424
165,71102,71102
166,67626,67626
167,65114,65114
168,60161,60161
169,56537,56537
170,54113,54113
171,53221,53221
172,53534,53534
173,54676,54676
174,57585,57585
175,65552,65552
176,72753,72753
177,75445,75445
178,75641,75641
179,76416,76416
180,77360,77360
181,76791,76791
182,76326,76326
183,75438,75438
184,74999,74999
185,75800,75800
186,77826,77826
187,77048,77048
188,74820,74820
189,70594,70594
190,67026,67026
191,63980,63980
192,59087,59087
193,55184,55184
194,52967,52967
195,52022,52022
196,52331,52331
197,53953,53953
198,57237,57237
199,65214,65214
200,72419,72419
201,75783,75783
202,76039,76039
203,76881,76881
204,77682,77682
205,76989,76989
206,75538,75538
207,73954,73954
208,73398,73398
209,74060,74060
210,76628,76628
211,75516,75516
212,72690,72690
213,68063,68063
214,64494,64494
215,61863,61863
216,57537,57537
217,53377,53377
218,50587,50587
219,49134,49134
220,48855,48855
221,48972,48972
222,49075,49075
223,50254,50254
224,53866,53866
225,57954,57954
226,60799,60799
227,62843,62843
228,64646,64646
229,64732,64732
230,62963,62963
231,61232,61232
232,60403,60403
233,61897,61897
234,65819,65819
235,66054,66054
236,63841,63841
237,59756,59756
