Hour;Lignite;Coal;Gas;WindOnshore;WindOffshore;PVGround;PVRoof
1;14685.873737722894;0.0;0.0;26478.822185999998;7795.05407627711;0.0;0.0
2;4496.244825593869;0.0;0.0;28051.319288999995;7623.185885406136;0.0;0.0
3;9227.200341472131;0.0;0.0;29522.364966;7246.184692527868;0.0;0.0
4;8328.943266321028;0.0;0.0;29505.456394999997;7543.3503386789735;0.0;0.0
5;0.0;0.0;0.0;30875.050646;8063.390219443406;0.0;0.0
6;0.0;0.0;0.0;31602.119199;8305.114513700648;0.0;0.0
7;0.0;0.0;0.0;33800.233429;8544.621153882135;0.0;0.0
8;0.0;0.0;0.0;35846.17052;8288.57948;0.0;0.0
9;0.0;0.0;0.0;38568.450451;7876.299549000003;0.0;0.0
10;0.0;0.0;0.0;41459.816092;0.0;8699.545465;0.0
11;0.0;0.0;0.0;38416.273312;0.0;12257.687532999998;4608.039155000006
12;0.0;0.0;0.0;38297.913315;0.0;13214.357805999998;0.0
13;0.0;0.0;0.0;40310.033264;0.0;11653.474729;0.0
14;0.0;0.0;0.0;45974.40454899999;0.0;0.0;5533.345451000008
15;0.0;0.0;0.0;51578.75;0.0;0.0;0.0
16;0.0;0.0;0.0;50039.0;0.0;0.0;0.0
17;0.0;0.0;0.0;54567.0;0.0;0.0;0.0
18;0.0;0.0;0.0;59327.75;0.0;0.0;0.0
19;0.0;0.0;0.0;54278.0;0.0;0.0;0.0
20;0.0;0.0;0.0;52149.0;0.0;0.0;0.0
21;0.0;0.0;0.0;50945.0;0.0;0.0;0.0
22;0.0;0.0;0.0;50754.0;0.0;0.0;0.0
23;0.0;0.0;0.0;48558.75;0.0;0.0;0.0
24;0.0;0.0;0.0;45279.0;0.0;0.0;0.0
25;0.0;0.0;0.0;43939.75;0.0;0.0;0.0
26;0.0;0.0;0.0;46412.75;0.0;0.0;0.0
27;0.0;0.0;0.0;45901.0;0.0;0.0;0.0
28;0.0;0.0;0.0;43674.75;0.0;0.0;0.0
29;0.0;0.0;0.0;45243.75;0.0;0.0;0.0
30;0.0;0.0;0.0;50836.0;0.0;0.0;0.0
31;0.0;0.0;0.0;43699.40071468176;10928.599285318236;0.0;0.0
32;0.0;0.0;0.0;51141.0;0.0;0.0;0.0
33;0.0;0.0;0.0;58259.75;0.0;0.0;0.0
34;0.0;0.0;0.0;59775.0;0.0;0.0;0.0
35;0.0;0.0;0.0;65427.75;0.0;0.0;0.0
36;0.0;0.0;0.0;61776.0;0.0;0.0;0.0
37;0.0;0.0;0.0;60770.0;0.0;0.0;0.0
38;0.0;0.0;0.0;59621.0;0.0;0.0;0.0
39;0.0;0.0;0.0;59141.0;0.0;0.0;0.0
40;0.0;0.0;0.0;60816.0;0.0;0.0;0.0
41;0.0;0.0;0.0;64134.0;0.0;0.0;0.0
42;0.0;0.0;0.0;68931.44789487722;0.0;0.0;0.0
43;0.0;0.0;0.0;68275.0793789266;0.0;0.0;0.0
44;0.0;0.0;0.0;65667.0;0.0;0.0;0.0
45;0.0;0.0;0.0;63444.0;0.0;0.0;0.0
46;0.0;0.0;0.0;59196.75;0.0;0.0;0.0
47;0.0;0.0;0.0;55885.75;0.0;0.0;0.0
48;0.0;0.0;0.0;52376.75;0.0;0.0;0.0
49;0.0;0.0;0.0;50090.75;0.0;0.0;0.0
50;0.0;0.0;0.0;48659.75;0.0;0.0;0.0
51;0.0;0.0;0.0;48155.75;0.0;0.0;0.0
52;0.0;0.0;0.0;48441.75;0.0;0.0;0.0
53;0.0;0.0;0.0;45147.75;0.0;0.0;0.0
54;0.0;0.0;0.0;45469.75;0.0;0.0;0.0
55;0.0;0.0;0.0;48043.75;0.0;0.0;0.0
56;0.0;0.0;0.0;51455.75;0.0;0.0;0.0
57;0.0;0.0;0.0;58110.0;0.0;0.0;0.0
58;0.0;0.0;0.0;60647.0;0.0;0.0;0.0
59;0.0;0.0;0.0;62616.0;0.0;0.0;0.0
60;0.0;0.0;0.0;62881.0;0.0;0.0;0.0
61;0.0;0.0;0.0;61953.0;0.0;0.0;0.0
62;0.0;0.0;0.0;61088.0;0.0;0.0;0.0
63;0.0;0.0;0.0;57935.75;0.0;0.0;0.0
64;0.0;0.0;0.0;59745.75;0.0;0.0;0.0
65;0.0;0.0;0.0;62682.75;0.0;0.0;0.0
66;0.0;0.0;0.0;62771.75;0.0;0.0;0.0
67;0.0;0.0;0.0;60664.75;0.0;0.0;0.0
68;0.0;0.0;0.0;56983.75;0.0;0.0;0.0
69;0.0;0.0;0.0;54649.75;0.0;0.0;0.0
70;0.0;0.0;0.0;53850.75;0.0;0.0;0.0
71;0.0;0.0;0.0;54455.75;0.0;0.0;0.0
72;0.0;0.0;0.0;50132.86333667932;0.0;0.0;0.0
73;0.0;0.0;0.0;48924.75;0.0;0.0;0.0
74;0.0;0.0;0.0;47677.75;0.0;0.0;0.0
75;0.0;0.0;0.0;46992.75;0.0;0.0;0.0
76;0.0;0.0;0.0;50269.0;0.0;0.0;0.0
77;0.0;0.0;0.0;49892.0;0.0;0.0;0.0
78;0.0;0.0;0.0;49049.0;0.0;0.0;0.0
79;0.0;0.0;0.0;50519.0;0.0;0.0;0.0
80;0.0;0.0;0.0;52804.0;0.0;0.0;0.0
81;0.0;0.0;0.0;56027.0;0.0;0.0;0.0
82;0.0;0.0;0.0;58919.0;0.0;0.0;0.0
83;0.0;0.0;0.0;62137.0;0.0;0.0;0.0
84;0.0;0.0;0.0;62306.0;0.0;0.0;0.0
85;0.0;0.0;0.0;60690.0;0.0;0.0;0.0
86;0.0;0.0;0.0;59122.0;0.0;0.0;0.0
87;0.0;0.0;0.0;58791.0;0.0;0.0;0.0
88;0.0;0.0;0.0;60768.0;0.0;0.0;0.0
89;0.0;0.0;0.0;65646.0;0.0;0.0;0.0
90;0.0;0.0;0.0;62544.804129;1648.0012489877745;0.0;0.0
91;70.2891702400243;0.0;0.0;57506.049971;4886.6007559250675;0.0;0.0
92;2546.7109436115657;0.0;0.0;52264.392961;5056.251292720288;0.0;0.0
93;6599.98796307643;0.0;0.0;46194.215972;5438.796620787941;0.0;0.0
94;5065.8785622446085;0.0;0.0;42880.136055999996;5958.836501552374;0.0;0.0
95;7977.253635190589;0.0;0.0;40580.5704;6346.925964809414;0.0;0.0
96;52.624993988647475;0.0;0.0;40360.758977;6430.0879926502075;0.0;0.0
97;3308.7578535466746;0.0;0.0;40276.216122;6365.776024453327;0.0;0.0
98;343.30605803097296;0.0;0.0;42829.410343;5971.033598969024;0.0;0.0
99;0.0;0.0;0.0;44976.79886;4299.951139999997;0.0;0.0
100;0.0;0.0;0.0;47394.724512999994;3181.0254870000063;0.0;0.0
101;0.0;0.0;0.0;48696.684479999996;5300.193241053284;0.0;0.0
102;2402.7215793429596;0.0;0.0;51351.330127;4837.8123662584685;0.0;0.0
103;9705.53721392736;0.0;0.0;54530.141475;4372.10501035002;0.0;0.0
104;11972.881251572722;0.0;0.0;55138.850030999994;4067.1775749337753;514.699796;500.3913464935067
105;4704.380632717186;0.0;0.0;55933.55286799999;3863.15339996436;4481.244963;4356.668136318466
106;0.0;0.0;0.0;55646.107161;3610.3408353283457;5706.579547296721;9637.972456374933
107;0.0;0.0;0.0;53211.272936999994;0.0;8967.916853175042;13488.810209824964
