Hours,Lignite,Coal,Gas,WindOnshore,WindOffshore,PVGround,PVRoof
1.0,0.0,0.0,0.0,1134.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,860.0,0.0,0.0,0.0
3.0,0.0,0.0,0.0,823.0,0.0,0.0,0.0
4.0,0.0,0.0,0.0,1077.0,0.0,0.0,0.0
5.0,0.0,0.0,0.0,2773.8122126877106,0.0,412.7575631414448,0.0
6.0,0.0,0.0,0.0,1728.8515170088876,0.0,1532.1635620465877,0.0
7.0,0.0,0.0,0.0,1421.3301409745634,0.0,1302.3858256492526,0.0
8.0,0.0,0.0,0.0,1812.9991572172846,0.0,122.14254419491735,0.0
9.0,0.0,0.0,2916.175298804781,2685.074701195219,0.0,0.0,0.0
10.0,0.0,0.0,0.0,3671.897027275513,0.0,0.0,0.0
11.0,0.0,0.0,0.0,4228.801409745633,0.0,0.0,0.0
12.0,0.0,0.0,0.0,4236.451195219123,0.0,0.0,0.0
13.0,0.0,0.0,0.0,4282.25,0.0,0.0,0.0
14.0,0.0,0.0,0.0,4248.25,0.0,0.0,0.0
15.0,0.0,0.0,0.0,4377.25,0.0,0.0,0.0
16.0,0.0,0.0,0.0,4882.093089181735,0.0,0.0,0.0
17.0,0.0,0.0,0.0,2411.0,0.0,0.0,0.0
18.0,0.0,0.0,0.0,2476.0,0.0,0.0,0.0
19.0,0.0,0.0,0.0,2373.0,0.0,0.0,0.0
20.0,0.0,0.0,594.8122642138433,1705.9021605884157,0.0,54.28557519774103,0.0
21.0,0.0,0.0,2107.3067729083664,954.6932270916335,0.0,0.0,0.0
22.0,0.0,0.0,1655.316043518235,928.6839564817652,0.0,0.0,0.0
23.0,0.0,0.0,129.51225865767674,1863.4877413423233,0.0,0.0,0.0
24.0,0.0,0.0,0.0,3056.854275206865,0.0,0.0,0.0
25.0,0.0,0.0,440.5919399325767,3991.6580600674233,0.0,0.0,0.0
26.0,0.0,0.0,0.0,4282.25,0.0,0.0,0.0
27.0,0.0,0.0,0.0,4290.25,0.0,0.0,0.0
28.0,0.0,0.0,0.0,4713.25,0.0,0.0,0.0
29.0,0.0,0.0,0.0,4701.955433492103,0.0,390.2945665078968,0.0
30.0,0.0,0.0,0.0,3915.479923509134,0.0,1296.7700764908657,0.0
31.0,0.0,0.0,0.0,3497.4819184799267,0.0,926.5986111338557,0.0
32.0,0.0,0.0,0.0,3629.058228623966,0.0,80.49240460354706,0.0
33.0,0.0,0.0,297.3682194299722,2432.631780570028,0.0,0.0,0.0
34.0,0.0,0.0,4352.740806006742,1098.509193993258,0.0,0.0,0.0
35.0,0.0,0.0,1301.3630861170702,466.63691388292983,0.0,0.0,0.0
36.0,0.0,0.0,830.593472264787,480.406527735213,0.0,0.0,0.0
37.0,0.0,0.0,3846.792828685259,457.45717131474106,0.0,0.0,0.0
38.0,0.0,0.0,3811.120211461845,364.12978853815514,0.0,0.0,0.0
39.0,0.0,0.0,551.9436867912964,488.0563132087036,0.0,0.0,0.0
40.0,0.0,0.0,317.46797425681893,997.5320257431811,0.0,0.0,0.0
41.0,0.0,0.0,2897.4249938297307,1985.8843089181735,0.0,73.94069725209556,0.0
42.0,0.0,0.0,0.0,2732.5033711308615,0.0,283.5953324985437,0.0
43.0,0.0,0.0,0.0,3945.7593472264793,0.0,131.9701052220946,0.0
44.0,0.0,0.0,0.0,5070.782020903468,0.0,0.46797909653225034,0.0
45.0,0.0,0.0,0.0,6006.25,0.0,0.0,0.0
46.0,0.0,0.0,0.0,5564.25,0.0,0.0,0.0
47.0,0.0,0.0,0.0,4985.25,0.0,0.0,0.0
48.0,0.0,0.0,0.0,4420.25,0.0,0.0,0.0
49.0,0.0,0.0,0.0,4102.25,0.0,0.0,0.0
50.0,0.0,0.0,0.0,4051.25,0.0,0.0,0.0
51.0,0.0,0.0,0.0,4382.25,0.0,0.0,0.0
52.0,0.0,0.0,0.0,5862.25,0.0,0.0,0.0
53.0,0.0,0.0,0.0,5966.83266932271,0.0,0.0,0.0
54.0,0.0,0.0,0.0,5855.145801409746,0.0,0.0,0.0
55.0,0.0,0.0,0.0,4929.521759117377,0.0,0.0,0.0
56.0,0.0,0.0,0.0,2800.384250841613,0.0,5.615749158387003,0.0
57.0,0.0,0.0,0.0,3444.0,0.0,0.0,0.0
58.0,0.0,0.0,0.0,2817.0,0.0,0.0,0.0
59.0,0.0,0.0,0.0,2153.0,0.0,0.0,0.0
60.0,0.0,0.0,0.0,1411.0,0.0,0.0,0.0
61.0,0.0,0.0,0.0,1043.0,0.0,0.0,0.0
62.0,0.0,0.0,0.0,1009.0,0.0,0.0,0.0
63.0,0.0,0.0,0.0,1349.0,0.0,0.0,0.0
64.0,0.0,0.0,0.0,6030.25,0.0,0.0,0.0
65.0,0.0,0.0,0.0,6177.117177327098,0.0,71.13282267290205,0.0
66.0,0.0,0.0,0.0,5946.457803021619,0.0,353.79219697838124,0.0
67.0,0.0,0.0,0.0,5940.043900806054,0.0,311.2060991939465,0.0
68.0,0.0,0.0,0.0,6098.998815235243,0.0,18.251184764757763,0.0
69.0,0.0,0.0,0.0,5429.817729083666,0.0,0.0,0.0
70.0,0.0,0.0,0.0,4126.2942844008585,0.0,0.0,0.0
71.0,0.0,0.0,0.0,2682.014787005823,0.0,0.0,0.0
72.0,0.0,0.0,0.0,1533.0170088875268,0.0,0.0,0.0
73.0,0.0,0.0,305.1134692001226,836.8865307998774,0.0,0.0,0.0
74.0,0.0,0.0,622.8423996322402,442.15760036775976,0.0,0.0,0.0
75.0,0.0,0.0,1083.4187097762795,310.5812902237205,0.0,0.0,0.0
76.0,0.0,0.0,2600.948666870978,309.0513331290224,0.0,0.0,0.0
77.0,0.0,0.0,5161.776509347226,388.60910205332516,0.0,73.00473905903105,0.0
78.0,0.0,0.0,2075.435939375206,241.73322096230467,0.0,652.8308396624893,0.0
79.0,0.0,0.0,2010.7591475554036,90.26746858718971,0.0,774.9733838574066,0.0
80.0,0.0,0.0,2554.7980255870234,94.8573398712841,0.0,75.3446345416923,0.0
81.0,0.0,0.0,3257.5249770150167,177.47502298498316,0.0,0.0,0.0
82.0,0.0,0.0,2601.957937480846,283.0420625191542,0.0,0.0,0.0
83.0,0.0,0.0,4916.603815507202,492.64618449279806,0.0,0.0,0.0
84.0,0.0,0.0,735.6434262948206,835.3565737051794,0.0,0.0,0.0
85.0,0.0,0.0,0.0,1985.8843089181735,0.0,0.0,0.0
86.0,0.0,0.0,0.0,3676.486898559608,0.0,0.0,0.0
87.0,0.0,0.0,0.0,4724.25,0.0,0.0,0.0
88.0,0.0,0.0,0.0,6086.25,0.0,0.0,0.0
89.0,0.0,0.0,0.0,6283.614564393629,0.0,12.63543560637076,0.0
90.0,0.0,0.0,0.0,5996.935503640167,0.0,302.31449635983375,0.0
91.0,0.0,0.0,0.0,5686.093725435896,0.0,531.1562745641041,0.0
92.0,0.0,0.0,0.0,5582.813438553479,0.0,71.6008017694343,0.0
93.0,0.0,0.0,0.0,5039.678669935643,0.0,0.0,0.0
94.0,0.0,0.0,0.0,2829.0,0.0,0.0,0.0
95.0,0.0,0.0,0.0,2208.0,0.0,0.0,0.0
96.0,0.0,0.0,0.0,1551.0,0.0,0.0,0.0
97.0,0.0,0.0,0.0,1926.9959309999977,0.0,0.0,0.0
98.0,0.0,0.0,0.0,4353.25,0.0,0.0,0.0
99.0,0.0,0.0,0.0,4643.25,0.0,0.0,0.0
100.0,0.0,0.0,0.0,6206.25,0.0,0.0,0.0
101.0,0.0,0.0,0.0,5933.315258826701,0.0,475.93474117329856,0.0
102.0,0.0,0.0,0.0,4673.948876221479,0.0,1676.3011237785208,0.0
103.0,0.0,0.0,0.0,4723.179644326394,0.0,1380.0703556736062,0.0
104.0,0.0,0.0,427.3408049101297,5310.481075697212,0.0,176.42811939265837,0.0
105.0,0.0,0.0,0.0,5842.906144652161,0.0,0.0,0.0
106.0,0.0,0.0,121.0121820410659,5783.237817958934,0.0,0.0,0.0
107.0,0.0,0.0,0.0,5229.25,0.0,0.0,0.0
108.0,0.0,0.0,0.0,4623.25,0.0,0.0,0.0
109.0,0.0,0.0,0.0,4172.25,0.0,0.0,0.0
110.0,0.0,0.0,0.0,4052.25,0.0,0.0,0.0
111.0,0.0,0.0,0.0,4232.25,0.0,0.0,0.0
112.0,0.0,0.0,0.0,4819.25,0.0,0.0,0.0
113.0,0.0,0.0,0.0,5187.767803726375,0.0,219.4821962736254,0.0
