Hours,Lignite,Coal,Gas,WindOnshore,WindOffshore,PVGround,PVRoof
1.0,28655.5035797947,0.0,968.1098151615948,29213.053272043704,0.0,0.0,0.0
2.0,28655.503579794706,0.0,0.0,29010.886813413646,0.0,0.0,0.0
3.0,27910.717743654997,0.0,0.0,29389.948923345008,0.0,0.0,0.0
4.0,28655.503579794702,0.0,0.0,28833.99116211234,0.0,0.0,0.0
5.0,28655.5035797947,0.0,994.6081512020827,27595.721603003218,0.0,0.0,0.0
6.0,28655.5035797947,0.0,9313.31518363996,26332.181236565342,0.0,0.0,0.0
7.0,28655.503579794702,0.0,15936.595302441103,25232.901117764384,0.0,0.0,0.0
8.0,28655.503579794706,0.0,14681.58784572561,24702.214163860488,0.0,218.861077619404,0.0
9.0,28655.503579794702,0.0,15038.747859714595,24853.839007833034,0.0,1763.5762196578057,0.0
10.0,28655.503579794702,0.0,17234.638262685952,23312.319760778824,0.0,4266.205063740556,0.0
11.0,28655.503579794706,0.0,13795.974291680966,25043.370062798713,0.0,6515.081933771822,0.0
12.0,28655.5035797947,0.0,2589.840523867175,28101.13774957837,0.0,7688.684813759931,0.0
13.0,28655.503579794706,8.335358621853485e-12,750.3195163905312,32725.695490741,0.0,7599.871622841912,0.0
14.0,28655.503579794706,0.0,0.0,36832.2016816641,0.0,6413.581144151229,0.0
15.0,28132.311725559655,0.0,0.0,40862.895450600925,1.6326077195117545e-12,4361.362054009862,0.0
16.0,19105.223738025263,0.0,0.0,50086.740125597426,0.0,1687.4506274423609,0.0
17.0,18131.127611822987,0.0,0.0,58476.64815874492,0.0,34.8908964320789,0.0
18.0,17809.62348106359,0.0,0.0,59260.0431859364,0.0,0.0,0.0
19.0,10241.352673734833,0.0,0.0,59285.31399326517,0.0,0.0,0.0
20.0,9740.545435767426,0.0,0.0,59512.75125922398,0.0,0.0,0.0
21.0,1184.74645270668,0.0,0.0,57288.92021429333,0.0,0.0,0.0
22.0,5528.50482801415,0.0,0.0,55305.16183898585,0.0,0.0,0.0
23.0,5779.836497054615,0.0,0.0,53687.83016994538,0.0,0.0,0.0
24.0,3524.0122671568865,0.0,0.0,52411.65439984312,0.0,0.0,0.0
25.0,3272.989899553572,0.0,0.0,50920.67676744643,0.0,0.0,0.0
26.0,0.0,0.0,0.0,50364.71900621376,1.5003131315488027e-12,1.234764265051278e-12,1.234764265051278e-12
27.0,0.0,0.0,0.0,49631.865593679795,0.0,0.0,0.0
28.0,0.0,0.0,0.0,50440.531428200025,0.0,0.0,0.0
29.0,0.0,0.0,0.0,49871.93826330298,0.0,0.0,0.0
30.0,576.47788327216,0.0,0.0,49366.52211672783,0.0,0.0,0.0
31.0,3348.1950606620035,0.0,0.0,47837.638273337994,0.0,0.0,0.0
32.0,9770.693086163377,0.0,0.0,46776.26436553018,0.0,367.9403623746501,0.0
33.0,5814.944625965465,0.0,0.0,46447.74387025633,0.0,3219.4781707781885,0.0
34.0,6785.083487617851,0.0,0.0,50554.25006117944,0.0,6667.333118202711,0.0
35.0,0.0,0.0,0.0,55292.52643532147,0.0,10184.969858491391,0.0
36.0,0.0,0.0,0.0,59032.60591997759,0.0,12424.331029495728,0.0
37.0,0.0,0.0,0.0,61370.155597887664,0.0,12430.674828847017,4.738648885821892e-13
38.0,0.0,0.0,0.0,61193.25994658637,2.234764265051278e-12,10486.300327677529,0.0
39.0,0.0,0.0,0.0,59095.78293829948,0.0,6708.567813986077,0.0
40.0,0.0,0.0,0.0,61622.86367117524,0.0,2039.5314914387932,0.0
41.0,0.0,0.0,0.0,65956.80712805716,4.211618906478497e-12,15.859498378217681,0.0
42.0,0.0,0.0,0.0,65236.58911918756,2.234764265051278e-12,0.0,0.0
43.0,915.8253634282852,0.0,0.0,63113.841303571935,0.0,0.0,0.0
44.0,0.0,0.0,0.0,60738.38541466872,0.0,0.0,0.0
45.0,0.0,0.0,0.0,59032.60591997759,0.0,0.0,0.0
46.0,2185.932782500768,0.0,0.0,56151.73388449924,0.0,0.0,0.0
47.0,2005.18122222621,0.0,0.0,54635.48544477378,0.0,0.0,0.0
48.0,7309.811064448515,0.0,0.0,51843.06123494608,0.0,0.0,0.0
49.0,5801.820944484237,0.0,0.0,48696.84572251577,0.0,0.0,0.0
50.0,7086.275604556591,0.0,0.0,43541.60102744923,0.0,0.0,0.0
51.0,8221.405580213745,0.0,0.0,39839.42775378624,0.0,0.0,0.0
52.0,9941.026886897325,0.0,0.0,36250.97311310268,0.0,0.0,0.0
53.0,9930.712592581596,0.0,0.0,34507.28740741841,0.0,0.0,0.0
54.0,19179.889961263303,0.0,0.0,33749.163187555685,0.0,0.0,0.0
55.0,17158.27638108783,0.0,0.0,34204.037719473316,0.0,0.0,0.0
56.0,17653.37902338207,0.0,0.0,36819.56627799973,0.0,336.22136561821475,0.0
57.0,17648.94291373944,0.0,0.0,39220.292974231685,0.0,2483.5974460288885,0.0
58.0,16695.94429457122,0.0,0.0,41418.853211833586,0.0,5274.8691605952,0.0
59.0,11494.981605773408,0.0,0.0,45335.828347791,0.0,7691.856713435573,0.0
60.0,5726.500200789465,0.0,0.0,48482.04386022132,0.0,9065.289272989225,0.0
61.0,1957.2779889902267,0.0,0.0,50731.14571248075,0.0,9138.242965529027,0.0
62.0,0.0,0.0,0.0,53978.44445422609,0.0,7691.856713435573,0.0
63.0,0.0,0.0,0.0,56704.482740265405,0.0,5144.821273893815,0.0
64.0,0.0,0.0,0.0,58548.346922012934,0.0,1874.5927083053298,0.0
65.0,0.0,0.0,0.0,65261.85992651632,0.0,28.547097080791815,0.0
66.0,0.0,0.0,0.0,64263.66303703041,0.0,0.0,0.0
67.0,2082.0222280857483,0.0,0.0,64288.93384435916,0.0,0.0,0.0
68.0,2032.3540778240804,0.0,0.0,63606.6220464827,0.0,0.0,0.0
69.0,0.0,0.0,0.0,59765.45933251156,0.0,0.0,0.0
70.0,5628.772340700083,0.0,0.0,55001.91215104078,0.0,0.0,0.0
71.0,10283.387978502838,0.0,0.0,52019.956886247375,0.0,0.0,0.0
72.0,6901.333154990976,0.0,0.0,49442.33453871411,0.0,0.0,0.0
73.0,9613.583600785623,0.0,0.0,45297.92213679787,0.0,0.0,0.0
74.0,12190.09373312201,0.0,0.0,43971.2047520381,0.0,0.0,0.0
75.0,10579.083638385346,0.0,0.0,40787.08302861465,0.0,0.0,0.0
76.0,16049.58010209637,0.0,0.0,37350.253231903625,0.0,0.0,0.0
77.0,28655.503579794706,0.0,0.0,34671.54765505533,0.0,0.0,0.0
78.0,28655.503579794702,0.0,3594.22847336316,33167.93461899426,0.0,0.0,0.0
79.0,28655.503579794702,0.0,9193.570072833532,31083.093014371763,0.0,0.0,0.0
80.0,28655.503579794702,0.0,10564.394981920243,29756.37562961199,0.0,237.89247567326518,0.0
81.0,28655.503579794702,0.0,17729.58841274901,26736.51415382547,0.0,1754.0605206308755,0.0
82.0,28655.503579794702,0.0,15528.103275191837,23059.611687491248,0.0,3939.4993971492713,0.0
83.0,28655.503579794702,0.0,14925.390896674395,21884.51914670402,0.0,6416.753043826873,0.0
84.0,28655.503579794702,0.0,9980.951673067559,26155.285585264046,0.0,7904.373991703692,0.0
85.0,28655.5035797947,0.0,0.0,28568.647685160384,0.0,7936.0929884601255,0.0
86.0,28655.503579794702,0.0,2100.657678498027,29604.75078563945,0.0,6619.754623068059,0.0
87.0,28655.503579794706,0.0,2190.2169130745174,28644.46010714666,0.0,4234.48606698412,0.0
88.0,28655.503579794702,0.0,5635.479003872987,28935.07439142737,0.0,1379.776358904938,0.0
89.0,28655.5035797947,0.0,8015.116161338626,30438.687427488447,0.0,15.859498378217681,0.0
90.0,28655.503579794702,0.0,13329.71603618974,31209.44705101555,0.0,0.0,0.0
91.0,28655.503579794706,0.0,10505.268210539303,31297.894876666203,0.0,0.0,0.0
92.0,28655.5035797947,0.0,8754.03327294278,30615.583078789747,0.0,0.0,0.0
93.0,28655.503579794706,0.0,2343.0424104210338,30046.9899138927,0.0,0.0,0.0
94.0,28655.503579794706,0.0,3240.080008415544,30615.583078789747,0.0,0.0,0.0
95.0,28655.503579794702,0.0,1517.945228861174,31234.71785834431,0.0,0.0,0.0
96.0,28655.503579794702,0.0,0.0,30362.875005502174,0.0,0.0,0.0
97.0,28655.503579794702,7.025709016651427e-12,0.0,29187.78246471495,0.0,0.0,0.0
98.0,28655.503579794702,7.00017066523192e-12,0.0,27204.02408940748,0.0,0.0,0.0
99.0,28655.503579794702,6.6900314959280536e-12,0.0,24853.839007833034,0.0,1.234764265051278e-12,0.0
100.0,28655.503579794702,0.0,18.697363070264434,23185.965724135036,0.0,0.0,0.0
101.0,28655.503579794706,0.0,5495.560087076429,21379.10300012887,0.0,0.0,0.0
102.0,28655.5035797947,0.0,15067.527159781288,19749.13592742401,0.0,0.0,0.0
103.0,28655.503579794702,0.0,21976.879948205427,18409.783138999865,0.0,0.0,0.0
104.0,28655.503579794702,0.0,23211.959344560022,17234.690598212634,0.0,212.51727826811694,0.0
105.0,28655.503579794702,0.0,26183.428842714944,15061.401167939488,0.0,2099.7975852760205,0.0
106.0,28655.503579794702,0.0,25456.783548214113,12559.591242392495,0.0,4922.7882965987665,0.0
107.0,28655.503579794702,0.0,17751.495200178393,13090.278196296398,0.0,7913.889690730621,0.0
108.0,28655.503579794702,0.0,12366.692727277954,15200.390608247655,0.0,10251.579751679908,0.0
109.0,28655.503579794706,0.0,9327.709936393154,15225.661415576413,0.0,11390.291735235935,0.0
110.0,28655.503579794702,0.0,9284.080775560147,14063.204278453564,0.0,10432.37803319159,0.0
111.0,28655.503579794702,0.0,12758.639472325794,12294.247765440537,0.0,7339.775849439142,0.0
112.0,28655.503579794702,0.0,24715.56608083886,11296.050875954617,0.0,2826.16261099839,0.0
113.0,28655.5035797947,0.0,26183.428842714944,11750.925407872252,9.810826991109614e-13,47.57849513465304,0.0
114.0,28655.503579794702,0.0,26183.428842714944,12572.22664605687,1.3413878028002907e-12,0.0,0.0
115.0,28655.503579794702,0.0,26183.428842714944,13507.246517220901,4.5455345906485114e-13,1.234764265051278e-12,1.234764265051278e-12
116.0,28655.503579794706,0.0,26183.428842714944,14732.880672665642,0.0,0.0,0.0
117.0,28655.503579794702,0.0,20071.35633238256,15705.806754822806,0.0,0.0,0.0
118.0,28655.503579794702,0.0,18781.200322867735,15958.514828110385,0.0,0.0,0.0
119.0,28655.503579794702,0.0,16404.261919265573,15061.401167939488,0.0,0.0,0.0
120.0,28655.5035797947,0.0,14091.208705066798,13962.121049138535,0.0,0.0,0.0
121.0,28655.503579794702,0.0,15002.530854265115,13216.632232940188,0.0,0.0,0.0
122.0,28655.503579794702,0.0,11731.227743751224,12218.435343454266,0.0,0.0,0.0
123.0,28655.5035797947,0.0,11979.455896572366,11232.873857632723,0.0,0.0,0.0
