Hours,Lignite,Coal,Gas,WindOnshore,WindOffshore,PVGround,PVRoof
1.0,47328.75,0.0,0.0,0.0,0.0,0.0,0.0
2.0,38215.01045296167,0.0,0.0,0.0,0.0,0.0,0.0
3.0,36086.75,0.0,0.0,0.0,0.0,0.0,0.0
4.0,37658.645143099384,0.0,0.0,0.0,0.0,58.125762823961146,0.0
5.0,40849.73849491364,0.0,0.0,0.0,0.0,674.0115050863579,0.0
6.0,48192.894189918836,0.0,0.0,0.0,0.0,1878.575185736106,0.0
7.0,55771.199462922385,0.0,0.0,0.0,0.0,3475.178585858103,0.0
8.0,49516.10550992195,0.0,0.0,0.0,0.0,5084.149169559665,0.0
9.0,55087.21422245982,0.0,0.0,0.0,0.0,6275.10894827189,0.0
10.0,52982.41876388868,0.0,0.0,0.0,0.0,6939.226706494596,0.0
11.0,53681.35036186932,0.0,0.0,0.0,0.0,7066.608697364128,0.0
12.0,47067.84490955662,0.0,0.0,0.0,0.0,6668.385386102095,0.0
13.0,43454.660673237166,0.0,0.0,0.0,0.0,6032.712150112393,0.0
14.0,43312.533736369805,0.0,0.0,0.0,0.0,5133.61790387793,0.0
15.0,50924.80192845695,0.0,0.0,0.0,0.0,4108.378385131892,0.0
16.0,50383.654416259196,0.0,0.0,0.0,0.0,3111.583388618856,0.0
17.0,55171.805290950644,0.0,0.0,0.0,0.0,2092.527461662601,0.0
18.0,54487.36898306553,0.0,0.0,0.0,0.0,1113.0465221609581,0.0
19.0,52531.909659306,0.0,0.0,0.0,0.0,324.02020978463446,0.0
20.0,52155.56161260929,0.0,0.0,0.0,0.0,8.65702850569634,0.0
21.0,46773.360465890146,0.0,0.0,0.0,0.0,0.0,0.0
22.0,49636.90592334495,0.0,0.0,0.0,0.0,0.0,0.0
23.0,46492.79006968641,0.0,0.0,0.0,0.0,0.0,0.0
24.0,37009.02787456446,0.0,0.0,0.0,0.0,0.0,0.0
25.0,34545.042682926825,0.0,0.0,0.0,0.0,0.0,0.0
26.0,38755.89459930314,0.0,0.0,0.0,0.0,0.0,0.0
27.0,33683.6724738676,0.0,0.0,0.0,0.0,0.0,0.0
