Hours,Lignite,Coal,Gas,WindOnshore,WindOffshore,PVGround,PVRoof
1.0,1198.9322361468817,0.0,0.0,22370.40109685312,0.0,0.0,0.0
2.0,2216.9477445796306,0.0,0.0,20989.38558842037,0.0,0.0,0.0
3.0,5557.352827446715,0.0,0.0,19911.480505553285,0.0,0.0,0.0
4.0,6676.013410949339,0.0,0.0,19405.81992205066,0.0,0.0,0.0
5.0,9156.159863955609,0.0,0.0,19640.673469044392,0.0,0.0,0.0
6.0,12786.035177719657,0.0,0.0,20446.798155280343,0.0,0.0,0.0
7.0,13986.774171564964,0.0,0.0,22107.68511636033,0.0,6.3740450747041555,0.0
8.0,12286.717455047085,0.0,0.0,23442.0401739333,0.0,1778.0757040196172,0.0
9.0,3316.1806021129705,0.0,0.0,27983.616834280365,0.0,7045.035896606665,0.0
10.0,0.0,0.0,0.0,29717.092305785776,0.0,13373.727189048503,0.0
11.0,0.0,0.0,0.0,25475.219823505315,0.0,17974.599671328964,0.0
12.0,0.0,0.0,0.0,22761.286747915212,0.0,20208.532746919067,0.0
13.0,0.0,0.0,0.0,19795.418905327242,0.0,21252.93323309441,0.0
14.0,0.0,0.0,0.0,17447.24874266831,0.0,20358.549103632886,0.0
15.0,0.0,0.0,0.0,19497.32083165108,0.0,17408.063984541208,0.0
16.0,0.0,0.0,0.0,24118.230960524284,0.0,12726.214728441866,0.0
17.0,0.0,0.0,0.0,29793.930909646137,0.0,6853.569388785742,0.0
18.0,9329.56158024079,0.0,0.0,28401.46208425483,0.0,692.8096685043823,0.0
19.0,13267.395599468973,0.0,0.0,27380.437733531027,0.0,0.0,0.0
20.0,10705.752555674093,0.0,0.0,26355.580777325908,0.0,0.0,0.0
21.0,11121.505509276702,0.0,0.0,24734.3278237233,0.0,0.0,0.0
22.0,9038.026659068275,0.0,0.0,22900.76069345753,0.0,0.0,0.0
23.0,7187.159247424594,0.0,0.0,21086.174085575407,0.0,0.0,0.0
24.0,9245.59429095227,0.0,0.0,19525.23904204773,0.0,0.0,0.0
25.0,7202.868817298744,0.0,0.0,18240.464515701256,0.0,0.0,0.0
26.0,7763.023572262084,0.0,0.0,17265.309760737917,0.0,0.0,0.0
27.0,8092.32272684957,0.0,0.0,16751.01060615043,0.0,0.0,0.0
28.0,8707.412844603166,0.0,0.0,16549.920488396834,0.0,0.0,0.0
29.0,13563.033227579512,0.0,0.0,16187.800105420489,0.0,0.0,0.0
30.0,17959.310261682436,0.0,0.0,15856.523071317562,0.0,0.0,0.0
31.0,18110.42879529171,0.0,0.0,15488.532110103972,0.0,35.05724791087285,0.0
32.0,18110.42879529171,0.0,0.0,13420.050597836836,0.0,3505.8945141809904,0.0
33.0,18110.42879529171,0.0,182.87040093753058,10262.926623854179,0.0,10010.607512916578,0.0
34.0,10863.971992588042,0.0,0.0,12383.969582722162,0.0,15597.891757689795,0.0
35.0,8450.813879804526,0.0,0.0,11214.38614334179,0.0,19470.63330985368,0.0
36.0,7717.431393828472,0.0,0.0,9267.513811346762,0.0,21484.888127824765,0.0
37.0,5850.770065376924,0.0,0.0,8067.847460688469,0.0,21489.715806934604,0.0
38.0,8073.713657006563,0.0,0.0,7291.866520738074,0.0,19566.753155255363,0.0
39.0,13808.124822828153,0.0,0.0,6907.5109424693555,0.0,16062.197567702491,0.0
40.0,17971.384145109285,0.0,0.0,7371.256205708106,0.0,11316.192982182609,0.0
41.0,18110.42879529171,0.0,0.0,7872.1716586148195,0.0,5821.935850881333,0.0
42.0,18110.42879529171,0.0,10461.618899223215,9074.697254632183,0.0,701.0883838528887,0.0
43.0,18110.42879529171,0.0,9789.055539395631,10636.848998312656,0.0,0.0,0.0
44.0,18110.42879529171,0.0,7436.777542454154,11548.126995254133,0.0,0.0,0.0
45.0,18110.42879529171,0.0,5643.31420359511,11957.090334113178,0.0,0.0,0.0
46.0,18110.42879529171,0.0,3117.3095319208296,11612.09500578746,0.0,0.0,0.0
47.0,18110.42879529171,0.0,1196.441640766061,11262.962896942227,0.0,0.0,0.0
48.0,17067.275295384552,0.0,0.0,11646.558037615447,0.0,0.0,0.0
49.0,15271.270466491389,0.0,0.0,12533.562866508611,0.0,0.0,0.0
50.0,13784.0809269121,0.0,0.0,13485.7524060879,0.0,0.0,0.0
51.0,12941.086492634606,0.0,0.0,14176.746840365395,0.0,0.0,0.0
52.0,12661.150294710831,0.0,0.0,14916.68303828917,0.0,0.0,0.0
53.0,14319.235431290192,0.0,0.0,15441.597901709809,0.0,0.0,0.0
54.0,17973.209007546026,0.0,0.0,16068.624325453975,0.0,0.0,0.0
55.0,18110.42879529171,0.0,0.0,16499.914112116858,0.0,12.748090149408311,0.0
56.0,18110.42879529171,0.0,0.0,15886.028050022902,0.0,2632.688055189566,0.0
57.0,17549.41767051031,0.0,0.0,11915.357518872224,0.0,8817.058143617465,0.0
58.0,8948.98319485176,0.0,0.0,15003.220836656887,0.0,14614.62930149135,0.0
59.0,763.7264567625862,0.0,0.0,19218.600186038955,0.0,18770.506690198457,0.0
60.0,0.0,0.0,0.0,17579.887585243698,0.0,21332.043052882527,0.0
61.0,0.0,0.0,0.0,15611.631748063253,0.0,21924.320075548898,0.0
62.0,1868.2962864660185,0.0,0.0,14160.960155882849,0.0,20486.57689065113,0.0
