Hours,Lignite,Coal,Gas,WindOnshore,WindOffshore,PVGround,PVRoof
1.0,20389.65500471,0.0,0.0,19638.34499529,0.0,0.0,0.0
2.0,31372.718604397527,0.0,0.0,11706.078530906736,0.0,0.0,0.0
3.0,32444.270803608626,0.0,0.0,7270.1784553992,0.0,0.0,0.0
4.0,32444.270803608626,0.0,0.0,3940.020249340752,0.0,0.0,0.0
5.0,32444.270803608626,0.0,0.0,3771.2484196669443,0.0,13.823634766422881,0.0
6.0,28171.11903443098,0.0,0.0,5859.55321573752,0.0,184.32774983150026,0.0
7.0,30765.619844710232,0.0,0.0,11133.556147044048,0.0,190.82400824572122,0.0
8.0,24866.56585556171,0.0,0.0,17150.807000458033,0.0,17.62714398025784,0.0
9.0,27717.530812612655,0.0,0.0,19232.469187387345,0.0,0.0,0.0
10.0,27171.566079077522,0.0,0.0,19979.433920922478,0.0,0.0,0.0
11.0,21957.294344847374,0.0,0.0,22593.705655152626,0.0,0.0,0.0
12.0,15431.23597199351,0.0,0.0,24983.081707150992,0.0,0.0,0.0
13.0,15241.479781921422,0.0,0.0,29454.52021807858,0.0,0.0,0.0
14.0,0.0,0.0,0.0,31060.135103407778,0.0,0.0,0.0
15.0,5272.450964704702,0.0,0.0,29146.5490352953,0.0,0.0,0.0
16.0,24250.433322025216,0.0,0.0,22739.566677974784,0.0,0.0,0.0
17.0,31543.60943896449,0.0,0.0,17270.40255585792,0.0,109.98800517759041,0.0
18.0,32444.270803608626,0.0,0.0,14909.50299756701,0.0,898.3011590698292,0.0
19.0,32444.270803608626,0.0,409.164449074342,15985.558027023217,0.0,1262.0067202938142,0.0
20.0,32444.270803608626,0.0,1850.8391862678254,14451.372633105457,0.0,291.51737701809293,0.0
21.0,32444.270803608626,0.0,0.0,17845.517177434274,0.0,0.0,0.0
22.0,32444.270803608626,0.0,0.0,21190.742765203395,0.0,0.0,0.0
23.0,31972.250661158592,0.0,0.0,21508.749338841408,0.0,0.0,0.0
24.0,32444.270803608626,0.0,0.0,20412.947557389936,0.0,0.0,0.0
25.0,28198.52315862208,0.0,0.0,18080.47684137792,0.0,0.0,0.0
26.0,28604.81078070544,0.0,0.0,14854.18921929456,0.0,0.0,0.0
27.0,20674.11219827637,0.0,0.0,11873.887801723631,0.0,0.0,0.0
28.0,32444.270803608626,0.0,0.0,8099.866068914496,0.0,0.0,0.0
29.0,32444.270803608626,0.0,3929.2068612986695,6525.596293292065,0.0,1193.92604180064,0.0
30.0,32444.270803608626,0.0,1075.2688356376311,6846.595376643648,0.0,3477.86498411009,0.0
31.0,32444.270803608626,0.0,145.59456943903933,9765.007118800848,0.0,3199.127508151481,0.0
32.0,32444.270803608626,0.0,0.0,12834.359526064705,0.0,867.3368129365291,0.0
33.0,32444.270803608626,0.0,8714.401402113792,14329.327794277582,0.0,0.0,0.0
