Hours,Lignite,Coal,Gas,WindOnshore,WindOffshore,PVGround,PVRoof
1.0,51114.58538971433,0.0,0.0,815.6354681769607,0.0,0.0,0.0
2.0,46541.36336146006,0.0,0.0,669.1300770935744,0.0,0.0,0.0
3.0,42551.803412920504,0.0,0.0,514.1007359835187,0.0,0.0,0.0
4.0,45573.19875785337,0.0,0.0,475.21021398683797,0.0,0.0,0.0
5.0,40553.58330476721,0.0,0.0,421.9355263201521,0.0,1748.8339269259557,0.0
6.0,43368.056193767865,0.0,0.0,335.630532300121,0.0,4679.15431953433,0.0
7.0,43543.573553219816,0.0,0.0,369.1935855301331,0.0,4521.232861250046,0.0
8.0,53032.10913381987,0.0,0.0,641.4272395068978,0.0,991.3958214513361,0.0
9.0,52541.37871252256,0.0,0.0,1084.6726408937243,0.0,0.0,0.0
10.0,51405.70109768271,0.0,0.0,1249.2914257837836,0.0,0.0,0.0
11.0,51951.28231552864,0.0,0.0,1336.1291666804816,0.0,0.0,0.0
12.0,41015.03609212489,0.0,0.0,1562.0138423872297,0.0,0.0,0.0
13.0,34803.33729397264,0.0,0.0,1926.4127060273609,0.0,0.0,0.0
14.0,33676.05832708722,0.0,0.0,2419.736313820872,0.0,0.0,0.0
15.0,36052.34457428323,0.0,0.0,2634.966051994283,0.0,0.0,0.0
16.0,50062.63977845175,0.0,0.0,2573.1674143009272,0.0,0.0,0.0
17.0,49367.860810181155,0.0,0.0,2412.277857547536,0.0,798.3807057705451,0.0
18.0,51212.20397893517,0.0,0.0,2388.3042480975273,0.0,3988.9790574030158,0.0
19.0,50444.44978433525,0.0,0.0,2267.9034539708177,0.0,4582.646761693934,0.0
20.0,52181.95064304421,0.0,0.0,2595.0100362442686,0.0,889.0393207115227,0.0
21.0,53032.10913381987,0.0,2979.9711697377993,2660.537902074292,0.0,0.0,0.0
22.0,53032.10913381987,0.0,3210.272827212575,2466.618038967556,0.0,0.0,0.0
23.0,53032.10913381987,0.0,0.0,2712.747095987644,0.0,0.0,0.0
24.0,45551.43275681565,0.0,0.0,2815.567243184348,0.0,0.0,0.0
25.0,39011.671990592185,0.0,0.0,2897.6102621910445,0.0,0.0,0.0
26.0,44087.55403312694,0.0,0.0,3011.0853469210856,0.0,0.0,0.0
27.0,45129.76132106631,0.0,0.0,2997.7666750044136,0.0,0.0,0.0
28.0,41052.844278278935,0.0,0.0,2947.1557217210625,0.0,0.0,0.0
29.0,46518.425582406584,0.0,0.0,2998.2994218810804,0.0,1383.2749957123362,0.0
30.0,52701.77768895349,0.0,0.0,3523.0550953979364,0.0,3924.6406855094197,0.0
31.0,49875.826455673836,0.0,0.0,4035.0248438747876,0.0,2456.556017755523,0.0
32.0,46027.793476992505,0.0,0.0,4522.488236024963,0.0,175.46828698253736,0.0
33.0,53032.10913381987,0.0,0.0,4646.618258288341,0.0,0.0,0.0
34.0,48843.29303557167,0.0,0.0,4611.456964428329,0.0,0.0,0.0
35.0,45825.83835152128,0.0,0.0,4572.033695554981,0.0,0.0,0.0
36.0,39114.54229793166,0.0,0.0,4656.207702068345,0.0,0.0,0.0
37.0,33569.15813226165,0.0,0.0,4670.591867738351,0.0,0.0,0.0
38.0,31665.92646360166,0.0,0.0,4641.8235363983395,0.0,0.0,0.0
39.0,31537.440651535042,0.0,0.0,4503.309348464957,0.0,0.0,0.0
40.0,42983.78476947302,0.0,0.0,4142.6397129614925,0.0,0.0,0.0
41.0,36914.517379165714,0.0,0.0,3649.848852044649,0.0,1611.3837687896348,0.0
42.0,40183.857744208486,0.0,0.0,3615.7530519379698,0.0,4486.139203853539,0.0
43.0,45355.94758665682,0.0,0.0,3459.65821707458,0.0,3971.4322287047626,0.0
44.0,43824.99142901564,0.0,0.0,2954.0814311177314,0.0,526.4048609476121,0.0
45.0,51346.41743342644,0.0,0.0,2912.527174737716,0.0,0.0,0.0
46.0,51140.573670018515,0.0,0.0,3191.1537912344834,0.0,0.0,0.0
47.0,47950.323004943566,0.0,0.0,3500.146979701262,0.0,0.0,0.0
48.0,42812.02123837362,0.0,0.0,3743.612302338016,0.0,0.0,0.0
49.0,36857.55477196222,0.0,0.0,4165.015081781501,0.0,0.0,0.0
50.0,35936.28890330135,0.0,0.0,4529.413945421632,0.0,0.0,0.0
51.0,44275.82808036953,0.0,0.0,4659.404183328346,0.0,0.0,0.0
52.0,53032.10913381987,0.0,175.18656987840222,4810.704296301734,0.0,0.0,0.0
53.0,53032.10913381987,0.0,2824.382416284847,4823.490221341738,0.0,1974.0182285535454,0.0
54.0,53032.10913381987,0.0,1025.3775056033483,4813.368030685068,0.0,6112.145329891718,0.0
55.0,53032.10913381987,0.0,534.9835392815367,4699.36019907836,0.0,5825.54712782024,0.0
56.0,53032.10913381987,0.0,2449.255469089894,4052.0727439281272,0.0,1193.1843514812542,0.0
57.0,53032.10913381987,0.0,10988.219936452202,3508.6709297279313,0.0,0.0,0.0
58.0,53032.10913381987,0.0,7841.176760936295,3232.7080476144984,0.0,0.0,0.0
59.0,53032.10913381987,0.0,453.06980811352923,2893.8810340543764,0.0,0.0,0.0
60.0,49592.4708947757,0.0,0.0,2668.529105224295,0.0,0.0,0.0
61.0,44366.35068943581,0.0,0.0,2377.6493105641903,0.0,0.0,0.0
62.0,53032.10913381987,0.0,0.0,2442.11168264088,0.0,0.0,0.0
63.0,53032.10913381987,0.0,0.0,2754.8340992443264,0.0,0.0,0.0
64.0,53032.10913381987,0.0,1405.7009223023706,3037.1899438777614,0.0,0.0,0.0
65.0,53032.10913381987,0.0,2495.4443991726494,3200.21048813782,0.0,1000.169235800463,0.0
66.0,53032.10913381987,0.0,6789.854619488651,3313.685572867861,0.0,4284.35067382362,0.0
67.0,53032.10913381987,0.0,11805.507231111595,3250.8214414211716,0.0,5050.562193647367,0.0
68.0,53032.10913381987,0.0,504.4107456472775,2820.8947119510167,0.0,1187.3354085818362,0.0
69.0,53032.10913381987,0.0,8462.411834074188,2415.4743388075376,0.0,0.0,0.0
70.0,53032.10913381987,0.0,17744.286775468918,2034.5603219907334,0.0,0.0,0.0
71.0,53032.10913381987,0.0,10493.677080553181,1782.0383024506423,0.0,0.0,0.0
72.0,53032.10913381987,0.0,0.0,1428.2943763438482,0.0,0.0,0.0
73.0,44968.86125661769,0.0,0.0,1291.3784290404656,0.0,0.0,0.0
74.0,53032.10913381987,0.0,0.0,1434.1545919871835,0.0,0.0,0.0
75.0,53032.10913381987,0.0,0.0,1706.9209928406153,0.0,0.0,0.0
76.0,53032.10913381987,0.0,10693.340306282684,2164.550559897447,0.0,0.0,0.0
77.0,53032.10913381987,0.0,12384.041538795995,2575.8311486842617,0.0,1006.0181786998809,0.0
78.0,53032.10913381987,0.0,8085.420093917175,2842.2045870176908,0.0,4448.121075007322,0.0
79.0,53032.10913381987,0.0,5874.6451921888,3315.2838134978615,0.0,4951.130164357262,0.0
80.0,53032.10913381987,0.0,9894.355597650167,3556.0854017512816,0.0,1055.7341933449331,0.0
81.0,53032.10913381987,0.0,13050.56113644028,3735.0883523113457,0.0,0.0,0.0
82.0,53032.10913381987,0.0,12299.439624574174,4057.932959571463,0.0,0.0,0.0
83.0,53032.10913381987,0.0,1974.760687708651,4105.88017847148,0.0,0.0,0.0
84.0,53032.10913381987,0.0,0.0,3787.830293101365,0.0,0.0,0.0
