Hours,Lignite,Coal,Gas,WindOnshore,WindOffshore,PVGround,PVRoof
1.0,13081.238449702418,0.0,3023.2463226918208,14631.34856060576,0.0,0.0,0.0
2.0,13081.238449702418,0.0,676.2632576855376,13231.331625612043,0.0,0.0,0.0
3.0,10234.883882319771,0.0,0.0,14918.949450680228,0.0,0.0,0.0
4.0,10100.945319166462,0.0,0.0,15397.888013833537,0.0,0.0,0.0
5.0,9826.013720449164,0.0,0.0,13792.796612995415,0.0,2070.02299955542,0.0
6.0,2611.799003410124,0.0,0.0,15543.128180420239,0.0,11228.906149169636,0.0
7.0,0.0,0.0,0.0,14485.870641836576,0.0,17400.48469343841,0.0
8.0,0.0,0.0,0.0,15334.064761291982,0.0,11740.012728472026,0.0
9.0,8182.757438708437,0.0,0.0,17768.64710989701,0.0,1166.9287843945513,0.0
10.0,11970.156644868555,0.0,0.0,20918.176688131447,0.0,0.0,0.0
11.0,12614.437529327119,0.0,0.0,21992.895803672884,0.0,0.0,0.0
12.0,9714.486064071563,0.0,0.0,21725.847268928435,0.0,0.0,0.0
13.0,780.5751361058465,0.0,0.0,24713.758196894152,0.0,0.0,0.0
14.0,0.0,0.0,0.0,26242.293394973407,0.0,0.0,0.0
15.0,0.0,0.0,0.0,28813.90025141496,0.0,0.0,0.0
16.0,0.0,0.0,0.0,30023.424854423098,0.0,0.0,0.0
17.0,0.0,0.0,0.0,32251.69114245298,0.0,1100.5300997011454,0.0
18.0,0.0,0.0,0.0,35544.18903308597,0.0,6425.148992329792,0.0
19.0,0.0,0.0,0.0,39220.973701335686,0.0,7522.676387906155,0.0
20.0,0.0,0.0,0.0,38480.7454896358,0.0,3414.32989290182,0.0
21.0,0.0,0.0,0.0,35008.63903359303,0.0,523.597420977383,0.0
22.0,0.0,0.0,0.0,33584.265708349594,0.0,0.0,0.0
23.0,8115.783986841187,0.0,0.0,31410.550337744513,0.0,0.0,0.0
24.0,0.0,0.0,0.0,28694.363737445365,0.0,0.0,0.0
25.0,0.0,0.0,0.0,28661.289767171347,0.0,0.0,0.0
26.0,0.0,0.0,0.0,29761.237030964927,0.0,0.0,0.0
27.0,0.0,0.0,0.0,30595.139602562314,0.0,0.0,0.0
28.0,0.0,0.0,0.0,32988.854992689776,0.0,0.0,0.0
29.0,0.0,0.0,0.0,32025.377481640277,0.0,2484.3414610230234,0.0
30.0,0.0,0.0,0.0,32697.370816968116,0.0,10885.248951642767,0.0
31.0,0.0,0.0,0.0,34252.53425948524,0.0,5486.545097559967,0.0
32.0,0.0,0.0,0.0,30909.025317255502,0.0,3120.887061515343,0.0
33.0,5675.2549137291035,0.0,0.0,26176.647375699496,0.0,522.4310435713984,0.0
34.0,13081.238449702418,0.0,0.0,23042.17543568885,0.0,0.0,0.0
35.0,13081.238449702418,0.0,0.0,18471.865231857362,0.0,0.0,0.0
36.0,13081.238449702418,0.0,3943.2680573250145,14678.634828010305,0.0,0.0,0.0
37.0,13081.238449702418,0.0,450.9134613393362,14725.181421958245,0.0,0.0,0.0
38.0,6660.533939555709,0.0,0.0,18062.79939344429,0.0,0.0,0.0
39.0,2899.8734828959696,0.0,0.0,21965.607136505903,0.0,0.0,0.0
40.0,4441.922527809016,0.0,0.0,23254.910805190983,0.0,0.0,0.0
41.0,4991.67140651035,0.0,0.0,22180.640777105345,0.0,880.0211493843036,0.0
42.0,5468.198660674621,0.0,0.0,21594.845816381425,0.0,5030.2888559439525,0.0
43.0,1292.7880892951716,0.0,0.0,24156.2293289763,0.0,6937.315914728527,0.0
44.0,2697.640757666066,0.0,0.0,23722.252345221055,0.0,4505.4402301128775,0.0
45.0,9660.535358481593,0.0,0.0,20602.045536159265,0.0,301.7524383591405,0.0
46.0,13081.238449702418,0.0,4054.4956759179586,19213.599207379626,0.0,0.0,0.0
47.0,13081.238449702418,0.0,8157.191867945949,16659.903015351636,0.0,0.0,0.0
48.0,13081.238449702418,0.0,5281.040663390173,15620.054219907413,0.0,0.0,0.0
49.0,12791.441540065947,0.0,0.0,14683.891792934051,0.0,0.0,0.0
50.0,9824.106757439335,0.0,0.0,14778.226575560664,0.0,0.0,0.0
51.0,9233.625428244552,0.0,0.0,15467.707904755447,0.0,0.0,0.0
52.0,13081.238449702418,0.0,0.0,16045.630626548333,0.0,0.0,0.0
53.0,13081.238449702418,0.0,5673.099802629033,15980.063858001917,0.0,2207.9312226666357,0.0
54.0,10651.57725131056,0.0,0.0,18111.327255579567,0.0,12334.928826109875,0.0
55.0,0.0,0.0,0.0,22009.82904244736,0.0,19401.076427044867,0.0
56.0,64.64828462904552,0.0,0.0,20672.31451453697,0.0,14879.370533833986,0.0
57.0,13081.238449702418,0.0,3917.5835806639334,16661.831449720652,0.0,1779.6798529129999,0.0
58.0,13081.238449702418,0.0,7632.285944490108,17377.808938807477,0.0,0.0,0.0
59.0,13081.238449702418,0.0,8413.425286890382,16777.669596407202,0.0,0.0,0.0
60.0,13081.238449702418,0.0,5456.3811732346985,15936.713710062886,0.0,0.0,0.0
61.0,13033.49192531589,0.0,0.0,15213.841407684109,0.0,0.0,0.0
62.0,9939.671602271328,0.0,0.0,14740.66173072867,0.0,0.0,0.0
63.0,11918.409859785392,0.0,0.0,14458.423473214607,0.0,0.0,0.0
64.0,13081.238449702418,0.0,0.0,13463.19283734931,0.0,0.0,0.0
65.0,13081.238449702418,0.0,2121.9090572357654,12879.405561721895,0.0,3745.280264339921,0.0
66.0,10143.00938974589,0.0,0.0,11779.59038247414,0.0,13342.233560779972,0.0
67.0,2538.797395130463,0.0,0.0,13719.146270244646,0.0,18577.889667624895,0.0
68.0,6452.936720057798,0.0,0.0,13735.736089199983,0.0,12879.160523742219,0.0
69.0,13081.238449702418,0.0,0.0,14755.296698405835,0.0,1367.1427678472637,0.0
70.0,13081.238449702418,0.0,6643.781027830952,18657.813855466633,0.0,0.0,0.0
71.0,13081.238449702418,0.0,4946.798687972998,19911.296195324587,0.0,0.0,0.0
72.0,13081.238449702418,0.0,852.1363171264857,20214.9585661711,0.0,0.0,0.0
