Hours,Lignite,Coal,Gas,WindOnshore,WindOffshore,PVGround,PVRoof
1.0,21065.93400733852,0.0,22259.831783582795,21505.400876078686,0.0,0.0,0.0
2.0,21065.93400733852,0.0,11274.311836998906,27108.92082266257,0.0,0.0,0.0
3.0,21065.93400733852,0.0,3746.7417322951624,33136.490927366314,0.0,0.0,0.0
4.0,17616.271312277568,0.0,0.0,45009.89535472243,0.0,0.0,0.0
5.0,4753.746146165058,0.0,0.0,55580.86001071041,0.0,2888.560510124533,0.0
6.0,0.0,0.0,0.0,65546.03872652714,0.0,8605.876964946588,0.0
7.0,0.0,0.0,0.0,71391.87304917951,0.0,7948.02674524949,0.0
8.0,0.0,0.0,0.0,71664.47672225657,0.0,2900.5214232099347,0.0
9.0,0.0,0.0,0.0,75460.73528066295,0.0,0.0,0.0
10.0,166.97713348716206,0.0,0.0,77288.18953351284,0.0,0.0,0.0
11.0,0.0,0.0,0.0,76046.32835616182,0.0,0.0,0.0
12.0,0.0,0.0,0.0,71331.29445516241,0.0,0.0,0.0
13.0,1651.326464687474,0.0,0.0,69503.84020231252,0.0,0.0,0.0
14.0,0.0,0.0,0.0,62123.34816455969,0.0,0.0,0.0
15.0,5571.112430037488,0.0,0.0,51350.45486184798,0.0,0.0,0.0
16.0,0.0,0.0,0.0,64213.30965815044,0.0,0.0,0.0
17.0,0.0,0.0,0.0,82285.92353992548,0.0,1967.5702025485946,0.0
18.0,0.0,0.0,0.0,85446.10686115207,0.0,5220.120632915321,0.0
19.0,0.0,0.0,0.0,87122.11462895914,0.0,1513.1728554907459,0.0
20.0,0.0,0.0,0.0,76701.93566318796,0.0,0.0,0.0
21.0,0.0,0.0,0.0,81169.7312260851,0.0,0.0,0.0
22.0,0.0,0.0,0.0,81341.60216118043,0.0,0.0,0.0
23.0,0.0,0.0,0.0,74756.81118560329,0.0,0.0,0.0
24.0,0.0,0.0,0.0,71704.86245160134,0.0,0.0,0.0
25.0,0.0,0.0,0.0,64647.45624860649,0.0,0.0,0.0
26.0,0.0,0.0,0.0,55974.62087182171,0.0,0.0,0.0
27.0,8401.737938344362,0.0,0.0,48311.428728655635,0.0,0.0,0.0
28.0,13309.232805868312,0.0,0.0,42919.933861131685,0.0,0.0,0.0
29.0,21065.93400733852,0.0,0.0,39628.49691953467,0.0,2481.889465220872,0.0
30.0,21065.93400733852,0.0,0.0,39628.49691953467,0.0,8845.095226654625,0.0
31.0,21065.93400733852,0.0,3368.978660972014,36942.84591810888,0.0,10585.408080580584,0.0
32.0,21065.93400733852,0.0,5738.395518161691,31894.62975001529,0.0,5304.6649533756945,0.0
33.0,21065.93400733852,0.0,13800.314790709654,33287.93741240912,0.0,5.980456542700896,0.0
34.0,21065.93400733852,0.0,14529.131345543447,32258.10131411803,0.0,0.0,0.0
35.0,21065.93400733852,0.0,16261.63898124107,28158.94978562603,0.0,0.0,0.0
36.0,21065.93400733852,0.0,19823.95292499588,24079.991121806415,0.0,0.0,0.0
37.0,21065.93400733852,0.0,8525.079594153569,24019.412527789293,0.0,0.0,0.0
38.0,21065.93400733852,0.0,0.0,25533.87737821737,0.0,0.0,0.0
39.0,21065.93400733852,0.0,0.0,27270.463740041563,0.0,0.0,0.0
40.0,21065.93400733852,0.0,0.0,30430.64706126815,0.0,0.0,0.0
41.0,16957.294565847726,0.0,0.0,36932.74948577269,0.0,1961.589746005894,0.0
42.0,5152.642315888337,0.0,0.0,48563.83953706032,0.0,8970.684814051343,0.0
43.0,0.0,0.0,0.0,56610.696109001496,0.0,12343.662304134648,0.0
44.0,0.0,0.0,0.0,57539.567883930715,0.0,7068.899633472459,0.0
45.0,21065.93400733852,0.0,239.07656776736258,49593.675635351414,0.0,5.980456542700896,0.0
46.0,21065.93400733852,0.0,0.0,42475.690838339455,0.0,0.0,0.0
47.0,21065.93400733852,0.0,0.0,34832.691559845756,0.0,0.0,0.0
48.0,21065.93400733852,0.0,22154.69002341959,29158.496586908564,0.0,0.0,0.0
49.0,21065.93400733852,0.0,16952.191906801407,23090.54075286007,0.0,0.0,0.0
50.0,21065.93400733852,0.0,13462.855388737069,18365.410419524476,0.0,0.0,0.0
51.0,21065.93400733852,0.0,25887.352257232884,14488.380402428596,0.0,0.0,0.0
52.0,21065.93400733852,0.0,36538.53893529679,11903.69372436468,0.0,0.0,0.0
53.0,21065.93400733852,0.0,37264.69304978484,9975.27514815293,0.0,6919.388219904937,0.0
54.0,21065.93400733852,0.0,27956.245022241394,8430.521000716293,0.0,21338.268944356798,0.0
55.0,21065.93400733852,0.0,23089.138838711584,8470.90673006104,0.0,22917.109471629832,0.0
56.0,21065.93400733852,0.0,28388.389095350863,10288.264550574733,0.0,13055.336632716055,0.0
57.0,21065.93400733852,0.0,37264.69304978484,12872.95122863865,0.0,5.980456542700896,0.0
58.0,21065.93400733852,0.0,37264.69304978484,14579.248293454282,0.0,0.0,0.0
59.0,21065.93400733852,0.0,31337.71238045149,16073.520279209986,0.0,0.0,0.0
60.0,21065.93400733852,0.0,37264.69304978484,16103.809576218546,0.0,0.0,0.0
61.0,21065.93400733852,0.0,27906.81941036588,16376.413249295601,0.0,0.0,0.0
62.0,21065.93400733852,0.0,23443.25141392695,16749.981245734525,0.0,0.0,0.0
63.0,21065.93400733852,0.0,24871.97064667595,17537.502967957123,0.0,0.0,0.0
64.0,21065.93400733852,0.0,37264.69304978484,18910.61776567858,0.0,0.0,0.0
65.0,21065.93400733852,0.0,31554.11836588632,20768.361315537022,0.0,6195.752978238128,0.0
66.0,21065.93400733852,0.0,9231.1600233707,31268.65094517168,0.0,17313.421691119092,0.0
67.0,21065.93400733852,0.0,7664.228616425451,36609.6636510147,0.0,18868.340392221326,0.0
68.0,21065.93400733852,0.0,7588.007679381593,38447.21433620077,0.0,10095.010644079113,0.0
69.0,21065.93400733852,0.0,18858.397435943883,40516.98296511914,0.0,17.941369628102684,0.0
70.0,21065.93400733852,0.0,18860.439729443588,38507.79293021789,0.0,0.0,0.0
71.0,21065.93400733852,0.0,22608.091785001783,32995.14087465969,0.0,0.0,0.0
72.0,21065.93400733852,0.0,17409.658005801994,27805.574653859483,0.0,0.0,0.0
73.0,21065.93400733852,0.0,20926.290988015568,24817.03068234808,0.0,0.0,0.0
74.0,21065.93400733852,0.0,12398.881231629512,24100.18398647879,0.0,0.0,0.0
75.0,21065.93400733852,0.0,19182.6590599344,24978.573599727075,0.0,0.0,0.0
76.0,21065.93400733852,0.0,36450.09494739902,24514.13771226246,0.0,0.0,0.0
77.0,21065.93400733852,0.0,27879.96293748557,25655.034566251616,0.0,7272.235155924289,0.0
78.0,21065.93400733852,0.0,13242.820237159682,28603.19280841827,0.0,20489.04411529327,0.0
79.0,21065.93400733852,0.0,3832.0551672568035,25978.1204010096,0.0,19873.057091395076,0.0
80.0,21065.93400733852,0.0,18548.271096942142,25978.1204010096,0.0,8922.841161709737,0.0
81.0,21065.93400733852,0.0,29305.04656491787,29754.18609474361,0.0,0.0,0.0
82.0,21065.93400733852,0.0,32409.988111924726,33267.74454773675,0.0,0.0,0.0
83.0,21065.93400733852,0.0,16582.952435286603,33166.780224374874,0.0,0.0,0.0
84.0,21065.93400733852,0.0,18460.02148585793,29966.211173803542,0.0,0.0,0.0
85.0,21065.93400733852,0.0,17821.451327356524,27300.753037050123,0.0,0.0,0.0
86.0,21065.93400733852,0.0,10002.553319252285,26008.409698018168,0.0,0.0,0.0
87.0,21065.93400733852,0.0,15356.869235859635,26422.36342380184,0.0,0.0,0.0
