Hours,Lignite,Coal,Gas,WindOnshore,WindOffshore,PVGround,PVRoof
1.0,18192.25597049621,0.0,5433.378145091592,3218.699217412195,0.0,0.0,0.0
2.0,18192.25597049621,0.0,6421.960947463558,3296.3938480558622,0.0,0.0,0.0
3.0,18192.25597049621,0.0,3757.1972154395735,3361.8801470642125,0.0,0.0,0.0
4.0,18192.25597049621,0.0,3329.1560572874005,3476.9213052163873,0.0,0.0,0.0
5.0,18192.25597049621,0.0,3553.8783225260595,3786.1990399777283,0.0,0.0,0.0
6.0,18192.25597049621,0.0,7298.195300027641,4235.771573980847,0.0,0.0,0.0
7.0,18192.25597049621,0.0,8063.472796578122,4624.995121105842,0.0,0.0,0.0
8.0,18192.25597049621,0.0,8063.472796578122,4813.71918863145,0.0,1061.6079442785888,0.0
9.0,18192.25597049621,0.0,8063.472796578122,3962.570469347508,0.0,6670.970944373509,0.0
10.0,18192.25597049621,0.0,5499.476841705473,2560.22856431589,0.0,12629.871956482428,0.0
11.0,18192.25597049621,0.0,494.7260976274483,3353.6546753950274,0.0,16975.196589481315,0.0
12.0,17418.151001754788,0.0,0.0,4196.693368226194,0.0,19561.26639603465,0.0
13.0,13694.70031462999,0.0,0.0,4483.372701875355,0.0,20214.760316494656,0.0
14.0,11509.272738414293,0.0,0.0,4627.130857609421,0.0,18877.92973697629,0.0
15.0,15982.363249298285,0.0,0.0,4867.776411215249,0.0,15658.693672486468,0.0
16.0,18192.25597049621,0.0,0.0,5551.529566705259,0.0,10590.317280290772,0.0
17.0,18192.25597049621,0.0,4440.120041655304,7071.365840737756,0.0,4467.591480110732,0.0
18.0,18192.25597049621,0.0,8063.472796578122,9805.887820528054,0.0,47.1052679198984,0.0
19.0,18192.25597049621,0.0,8063.472796578122,10965.188683713342,0.0,0.0,0.0
20.0,18192.25597049621,0.0,7908.837532052952,11502.23983045084,0.0,0.0,0.0
21.0,18192.25597049621,0.0,5638.36246024182,12260.714902261969,0.0,0.0,0.0
22.0,18192.25597049621,0.0,4326.191969973701,13098.38539253009,0.0,0.0,0.0
23.0,18192.25597049621,0.0,0.0,13687.819806213449,0.0,0.0,0.0
24.0,16628.351065758543,0.0,0.0,14180.482267241454,0.0,0.0,0.0
