Hours,Lignite,Coal,Gas,WindOnshore,WindOffshore,PVGround,PVRoof
1.0,4447.517026578073,0.0,0.0,19733.482973421927,0.0,0.0,0.0
2.0,1836.320598006645,0.0,0.0,19225.679401993355,0.0,0.0,0.0
3.0,0.0,0.0,0.0,18682.447674418607,0.0,0.0,0.0
4.0,0.0,0.0,0.0,18009.312707641195,0.0,0.0,0.0
5.0,206.6374584717596,0.0,0.0,17820.36254152824,0.0,0.0,0.0
6.0,2776.4994685793095,0.0,0.0,17371.60589700997,0.0,124.89463441072107,0.0
7.0,7809.827200292811,0.0,0.0,15328.582225913622,0.0,923.5905737935675,0.0
8.0,2112.442708626612,0.0,0.0,16355.998754152828,0.0,2236.55853722056,0.0
9.0,2923.9879005011603,0.0,0.0,16474.092607973424,0.0,3790.919491525416,0.0
10.0,3508.480175544806,0.0,0.0,15907.24210963455,0.0,4900.277714820644,0.0
11.0,3235.5543210484957,0.0,0.0,15694.673172757473,0.0,5588.772506194031,0.0
12.0,2825.8194471817205,0.0,0.0,16226.095514950168,0.0,5786.085037868112,0.0
13.0,1187.2932351202317,0.0,0.0,17702.26868770764,0.0,5666.438077172127,0.0
14.0,0.0,0.0,0.0,19520.91403654485,0.0,5259.2185969085995,0.0
15.0,0.0,0.0,0.0,21056.134136212622,0.0,4593.813569880052,0.0
16.0,0.0,0.0,0.0,22296.119601328905,0.0,3607.25091150965,0.0
17.0,1114.2967051917376,0.0,0.0,22437.832225913622,0.0,2433.8710688946403,0.0
18.0,4890.531649445353,0.0,0.0,20489.283637873756,0.0,1275.1847126808916,0.0
19.0,8324.306640295057,0.0,0.0,18174.644102990038,0.0,340.0492567149044,0.0
20.0,10909.791239653137,0.0,0.0,19202.060631229237,0.0,3.1486042288417075,0.0
21.0,10909.791239653137,0.0,0.0,20323.952242524916,0.0,0.0,0.0
22.0,6530.329318936874,0.0,0.0,19969.670681063126,0.0,0.0,0.0
23.0,6236.127076411958,0.0,0.0,18965.872923588042,0.0,0.0,0.0
24.0,5341.778239202657,0.0,0.0,17643.221760797343,0.0,0.0,0.0
