Hours,Lignite,Coal,Gas,WindOnshore,WindOffshore,PVGround,PVRoof
1.0,4322.640220731497,0.0,0.0,3544.5253798028893,0.0,0.0,0.0
2.0,5747.0429691672325,0.0,0.0,3844.0131107007483,0.0,0.0,0.0
3.0,9825.30315645039,0.0,0.0,3875.723576325227,0.0,0.0,0.0
4.0,883.5426017343998,0.0,0.0,3822.8728002844286,0.0,0.0,0.0
5.0,19015.772863482027,0.0,6327.43289529669,3163.99979230914,0.0,0.0,0.0
6.0,19015.772863482027,0.0,0.0,2276.1067548237243,0.0,0.0,0.0
7.0,19015.772863482027,0.0,0.0,2300.77045030943,0.0,0.0,0.0
8.0,19015.772863482027,0.0,0.0,2899.745912105147,0.0,0.0,0.0
9.0,19015.772863482027,0.0,0.0,3484.627833623318,0.0,0.0,0.0
10.0,19015.772863482027,0.0,0.0,3607.946311051848,0.0,0.0,0.0
11.0,13596.806845933199,0.0,0.0,3544.5253798028893,0.0,0.0,0.0
12.0,19015.772863482027,0.0,0.0,3484.627833623318,0.0,0.0,0.0
13.0,19015.772863482027,0.0,0.0,3417.683517304973,0.0,0.0,0.0
14.0,19015.772863482027,0.0,0.0,3340.1690457784684,0.0,0.0,0.0
15.0,19015.772863482027,0.0,0.0,3213.327183280552,0.0,0.0,0.0
16.0,19015.772863482027,0.0,0.0,3125.2425565458875,0.0,0.0,0.0
17.0,19015.772863482027,0.0,0.0,2934.979762799013,0.0,0.0,0.0
18.0,19015.772863482027,0.0,0.0,2617.875106554222,0.0,0.0,0.0
19.0,19015.772863482027,0.0,0.0,2744.716969052138,0.0,0.0,0.0
20.0,19015.772863482027,0.0,0.0,3371.879511402947,0.0,0.0,0.0
21.0,19015.772863482027,0.0,0.0,3819.349415215042,0.0,0.0,0.0
22.0,19015.772863482027,0.0,0.0,3681.9373975089657,0.0,0.0,0.0
23.0,19015.772863482027,0.0,0.0,3245.037648905031,0.0,0.0,0.0
24.0,19015.772863482027,0.0,0.0,2804.61451523171,0.0,0.0,0.0
