Hours,Lignite,Coal,Gas,WindOnshore,WindOffshore,PVGround,PVRoof
1.0,19111.814046452087,0.0,0.0,18352.93764547527,0.0,0.0,0.0
2.0,19111.814046452087,0.0,0.0,19462.99435790321,0.0,0.0,0.0
3.0,19111.814046452087,0.0,0.0,20415.793036070525,0.0,0.0,0.0
4.0,19111.814046452087,0.0,0.0,21128.07942654512,0.0,0.0,0.0
5.0,19111.814046452087,0.0,0.0,21609.104001930562,0.0,0.0,0.0
6.0,19111.814046452087,0.0,0.0,20203.032166188503,0.0,0.0,0.0
7.0,19111.814046452087,0.0,0.0,21572.102111516295,0.0,0.0,0.0
8.0,19111.814046452087,0.0,0.0,26835.621022945445,0.0,0.0,0.0
9.0,19111.814046452087,0.0,0.0,31858.62764668187,0.0,0.0,0.0
10.0,0.0,0.0,0.0,34421.008557869696,0.0,0.0,0.0
11.0,0.0,0.0,0.0,35188.79778396569,0.0,0.0,0.0
12.0,0.0,0.0,0.0,35901.084174440286,0.0,0.0,0.0
13.0,0.0,0.0,0.0,36132.345989529436,0.0,0.0,0.0
14.0,0.0,0.0,0.0,35762.327085386794,0.0,0.0,0.0
15.0,0.0,0.0,0.0,34661.520845562416,0.0,0.0,0.0
16.0,19111.814046452087,0.0,0.0,31340.601180882164,0.0,0.0,0.0
17.0,19111.814046452087,0.0,0.0,26141.835577677983,0.0,0.0,0.0
18.0,19111.814046452087,0.0,0.0,20887.5671388524,0.0,0.0,0.0
19.0,19111.814046452087,0.0,0.0,17178.12762482237,0.0,0.0,0.0
20.0,19111.814046452087,0.0,0.0,16687.85257683336,0.0,0.0,0.0
21.0,19111.814046452087,0.0,0.0,18121.675830386117,0.0,0.0,0.0
22.0,14773.928268820047,0.0,0.0,19499.996248317475,0.0,0.0,0.0
23.0,19111.814046452087,0.0,0.0,20665.55579636681,0.0,0.0,0.0
24.0,19111.814046452087,0.0,0.0,21276.08698820218,0.0,0.0,0.0
25.0,19111.814046452087,0.0,0.0,22580.403625305007,0.0,0.0,0.0
26.0,19111.814046452087,0.0,0.0,22802.414967790595,0.0,0.0,0.0
27.0,19111.814046452087,0.0,0.0,23135.431981518977,0.0,0.0,0.0
28.0,19111.814046452087,0.0,0.0,21507.348803291334,0.0,0.0,0.0
29.0,19111.814046452087,0.0,0.0,19277.984905831887,0.0,0.0,0.0
30.0,19111.814046452087,0.0,0.0,15587.04633700899,0.0,0.0,0.0
31.0,19111.814046452087,0.0,0.0,17104.12384399384,0.0,0.0,0.0
32.0,0.0,0.0,0.0,21877.36770743398,0.0,0.0,0.0
33.0,7026.941103130579,0.0,0.0,24606.257125485998,0.0,0.0,0.0
34.0,0.0,0.0,0.0,26669.11251608125,0.0,0.0,0.0
35.0,0.0,0.0,0.0,28445.203255965956,0.0,0.0,0.0
36.0,0.0,0.0,0.0,30415.553920525548,0.0,0.0,0.0
37.0,0.0,0.0,0.0,32099.13993437459,0.0,0.0,0.0
38.0,0.0,0.0,0.0,32626.416872777863,0.0,0.0,0.0
39.0,0.0,0.0,0.0,32173.14371520312,0.0,0.0,0.0
40.0,0.0,0.0,0.0,30545.060536975474,0.0,0.0,0.0
41.0,0.0,0.0,0.0,25882.822344778127,0.0,0.0,0.0
42.0,19111.814046452087,0.0,0.0,19564.749556542436,0.0,0.0,0.0
43.0,19111.814046452087,0.0,0.0,15901.562405530236,0.0,0.0,0.0
44.0,19111.814046452087,0.0,0.0,15920.06335073737,0.0,0.0,0.0
45.0,19111.814046452087,0.0,0.0,15698.05200825178,0.0,0.0,0.0
46.0,19111.814046452087,0.0,0.0,14449.23820677035,0.0,0.0,0.0
47.0,19111.814046452087,0.0,0.0,13366.932912153106,0.0,0.0,0.0
48.0,19111.814046452087,0.0,0.0,13015.414953217592,0.0,0.0,0.0
49.0,19111.814046452087,0.0,0.0,12811.90455593914,0.0,0.0,0.0
50.0,19111.814046452087,0.0,0.0,12774.902665524873,0.0,0.0,0.0
51.0,19111.814046452087,0.0,0.0,12626.895103867815,0.0,0.0,0.0
52.0,19111.814046452087,0.0,0.0,12247.625727121602,0.0,0.0,0.0
53.0,19111.814046452087,0.0,0.0,11748.100206529029,0.0,0.0,0.0
54.0,19111.814046452087,0.0,5202.4473737329245,10110.766555697817,0.0,0.0,0.0
55.0,19111.814046452087,0.0,0.0,13311.430076531711,0.0,0.0,0.0
56.0,19111.814046452087,0.0,0.0,21340.84029642714,0.0,0.0,0.0
57.0,19111.814046452087,0.0,0.0,26437.850700992098,0.0,0.0,0.0
58.0,19111.814046452087,0.0,0.0,34615.26848254458,0.0,0.0,0.0
59.0,0.0,0.0,0.0,42219.156962675974,0.0,0.0,0.0
60.0,0.0,0.0,0.0,45558.57757256336,0.0,0.0,0.0
61.0,0.0,0.0,0.0,48916.49912765788,0.0,0.0,0.0
62.0,0.0,0.0,0.0,52459.43013482372,0.0,0.0,0.0
63.0,0.0,0.0,0.0,53338.2250321625,0.0,0.0,0.0
64.0,0.0,0.0,0.0,52672.191004705746,0.0,0.0,0.0
65.0,0.0,0.0,0.0,50082.058675707216,0.0,0.0,0.0
66.0,19111.814046452087,0.0,0.0,42487.420668179395,0.0,0.0,0.0
67.0,0.0,0.0,0.0,34217.49816059125,0.0,0.0,0.0
68.0,19111.814046452087,0.0,0.0,31211.09456443224,0.0,0.0,0.0
69.0,19111.814046452087,0.0,0.0,31183.34314662154,0.0,0.0,0.0
70.0,19111.814046452087,0.0,0.0,30794.82329727176,0.0,0.0,0.0
71.0,19111.814046452087,0.0,0.0,29240.743899872647,0.0,0.0,0.0
72.0,19111.814046452087,0.0,0.0,27825.421591527025,0.0,0.0,0.0
73.0,19111.814046452087,0.0,0.0,26345.345974956435,0.0,0.0,0.0
74.0,19111.814046452087,0.0,0.0,24809.767522764454,0.0,0.0,0.0
75.0,19111.814046452087,0.0,0.0,23422.196632229527,0.0,0.0,0.0
76.0,19111.814046452087,0.0,0.0,22515.650317080046,0.0,0.0,0.0
77.0,5133.232803031802,0.0,0.0,20693.307214177512,0.0,0.0,0.0
78.0,19111.814046452087,0.0,0.0,18870.964111274974,0.0,0.0,0.0
79.0,19111.814046452087,0.0,0.0,21451.845967669935,0.0,0.0,0.0
80.0,19111.814046452087,0.0,0.0,23496.200413058057,0.0,0.0,0.0
81.0,19111.814046452087,0.0,0.0,24976.276029628647,0.0,0.0,0.0
82.0,19111.814046452087,0.0,0.0,26141.835577677983,0.0,0.0,0.0
83.0,0.0,0.0,0.0,27362.897961348717,0.0,0.0,0.0
84.0,0.0,0.0,0.0,28630.212708037277,0.0,0.0,0.0
85.0,0.0,0.0,0.0,30045.5350163829,0.0,0.0,0.0
86.0,5973.009755343199,0.0,0.0,31682.868667214116,0.0,0.0,0.0
87.0,0.0,0.0,0.0,33338.70326325246,0.0,0.0,0.0
88.0,0.0,0.0,0.0,34282.251468816205,0.0,0.0,0.0
89.0,0.0,0.0,0.0,33551.46413313448,0.0,0.0,0.0
90.0,19111.814046452087,0.0,0.0,30443.30533833625,0.0,0.0,0.0
91.0,19111.814046452087,0.0,0.0,24948.524611817946,0.0,0.0,0.0
92.0,19111.814046452087,0.0,0.0,22432.39606364795,0.0,0.0,0.0
93.0,19111.814046452087,0.0,0.0,22321.390392405156,0.0,0.0,0.0
94.0,19111.814046452087,0.0,0.0,22053.126686901738,0.0,0.0,0.0
95.0,19111.814046452087,0.0,0.0,21757.11156358762,0.0,0.0,0.0
96.0,19111.814046452087,0.0,0.0,21350.090769030707,0.0,0.0,0.0
97.0,19111.814046452087,0.0,0.0,20314.037837431297,0.0,0.0,0.0
98.0,19111.814046452087,0.0,0.0,19203.98112500336,0.0,0.0,0.0
99.0,19111.814046452087,0.0,0.0,16669.35163162623,0.0,0.0,0.0
100.0,19111.814046452087,0.0,0.0,14791.505693102295,0.0,0.0,0.0
101.0,19111.814046452087,0.0,0.0,12515.889432625021,0.0,0.0,0.0
102.0,19111.814046452087,0.0,0.0,8528.935740488005,0.0,0.0,0.0
103.0,19111.814046452087,0.0,0.0,10369.77978859767,0.0,0.0,0.0
104.0,16302.360314249992,0.0,0.0,11748.100206529029,0.0,0.0,0.0
105.0,19111.814046452087,0.0,0.0,13181.923460081784,0.0,0.0,0.0
106.0,19111.814046452087,0.0,0.0,14532.492460202444,0.0,0.0,0.0
107.0,19111.814046452087,0.0,0.0,15818.308152098143,0.0,0.0,0.0
108.0,0.0,0.0,0.0,16798.858248076154,0.0,0.0,0.0
109.0,19111.814046452087,0.0,0.0,18038.42157695402,0.0,0.0,0.0
110.0,19111.814046452087,0.0,0.0,19092.975453760562,0.0,0.0,0.0
111.0,0.0,0.0,0.0,18741.45749482505,0.0,0.0,0.0
112.0,19111.814046452087,0.0,0.0,17649.901727604243,0.0,0.0,0.0
113.0,19111.814046452087,0.0,0.0,16336.334617897848,0.0,0.0,0.0
114.0,19111.814046452087,0.0,0.0,14893.260891741525,0.0,0.0,0.0
115.0,19111.814046452087,0.0,0.0,12654.646521678515,0.0,0.0,0.0
116.0,19111.814046452087,0.0,4331.918092504144,12034.86485723958,0.0,0.0,0.0
117.0,19111.814046452087,0.0,0.0,11526.08886404344,0.0,0.0,0.0
118.0,19111.814046452087,0.0,0.0,10351.278843390539,0.0,0.0,0.0
119.0,19111.814046452087,0.0,0.0,9102.465041909107,0.0,0.0,0.0
120.0,19111.814046452087,0.0,0.0,8251.42156238102,0.0,0.0,0.0
121.0,0.0,0.0,0.0,7677.892260959917,0.0,0.0,0.0
122.0,19111.814046452087,0.0,0.0,7409.628555456498,0.0,0.0,0.0
123.0,19111.814046452087,0.0,0.0,8186.668254156055,0.0,0.0,0.0
124.0,19111.814046452087,0.0,0.0,10323.52742557984,0.0,0.0,0.0
125.0,19111.814046452087,0.0,0.0,12848.906446353401,0.0,0.0,0.0
126.0,19111.814046452087,0.0,0.0,12589.89321345355,0.0,0.0,0.0
127.0,19111.814046452087,0.0,0.0,14439.987734166782,0.0,0.0,0.0
128.0,19111.814046452087,0.0,0.0,18593.44993316799,0.0,0.0,0.0
129.0,19111.814046452087,0.0,0.0,21377.842186841408,0.0,0.0,0.0
130.0,0.0,0.0,0.0,22682.158823944235,0.0,0.0,0.0
131.0,0.0,0.0,0.0,23237.187180158202,0.0,0.0,0.0
132.0,19111.814046452087,0.0,0.0,23375.944269211697,0.0,0.0,0.0
133.0,0.0,0.0,0.0,22497.14937187291,0.0,0.0,0.0
134.0,19111.814046452087,0.0,0.0,21470.346912877067,0.0,0.0,0.0
135.0,0.0,0.0,0.0,20508.297762106187,0.0,0.0,0.0
136.0,19111.814046452087,0.0,0.0,19786.760899028028,0.0,0.0,0.0
137.0,19111.814046452087,0.0,0.0,18473.19378932163,0.0,0.0,0.0
138.0,19111.814046452087,0.0,0.0,15855.310042512407,0.0,0.0,0.0
139.0,19111.814046452087,0.0,0.0,12488.138014814323,0.0,0.0,0.0
140.0,19111.814046452087,0.0,0.0,11146.819487297227,0.0,0.0,0.0
141.0,19111.814046452087,0.0,0.0,12219.874309310902,0.0,0.0,0.0
