Hours,Lignite,Coal,Gas,WindOnshore,WindOffshore,PVGround,PVRoof
1.0,11544.788876190782,0.0,0.0,25086.222180441633,0.0,0.0,0.0
2.0,19082.955962038603,0.0,0.0,25373.998140065003,0.0,0.0,0.0
3.0,11893.139282941818,0.0,0.0,25938.926471979124,0.0,0.0,0.0
4.0,18589.01885071169,0.0,0.0,25758.442875029934,0.0,0.0,0.0
5.0,19082.955962038603,0.0,0.0,25174.26295944124,0.0,0.0,0.0
6.0,19082.955962038603,0.0,0.0,23991.053583539233,0.0,3522.8957669473148,0.0
7.0,19082.955962038603,0.0,12562.180910210143,25529.067298809638,0.0,18350.80531708685,0.0
8.0,19082.955962038603,0.0,5308.423554408328,27749.749214442967,0.0,40093.10732020389,0.0
9.0,19082.955962038603,0.0,0.0,26705.585575507674,0.0,61731.86923121501,0.0
10.0,19082.955962038603,0.0,0.0,25511.811306125714,0.0,79524.00498657934,0.0
11.0,11723.457824483514,0.0,0.0,24992.60548543872,0.0,92961.49773150387,0.0
12.0,19082.955962038603,0.0,0.0,24976.053818986795,0.0,99777.26638451862,0.0
13.0,0.0,0.0,0.0,25728.509010170073,0.0,100634.33998147586,0.0
14.0,19082.955962038603,0.0,0.0,27053.405346408766,0.0,95704.56527956143,0.0
15.0,19082.955962038603,0.0,0.0,28638.90238848629,0.0,85574.9922542334,0.0
16.0,18626.517394873634,0.0,0.0,30027.0120040467,0.0,70589.31441986343,0.0
17.0,15929.42242292175,0.0,0.0,31128.284761626408,0.0,51181.20833489798,0.0
18.0,19082.955962038603,0.0,0.0,31780.54954630814,0.0,30022.380822043946,0.0
19.0,5990.023292273283,0.0,0.0,31177.17674089752,0.0,11365.350095858255,0.0
20.0,19082.955962038603,0.0,0.0,30240.598933899742,0.0,1049.8518403889593,0.0
21.0,19082.955962038603,0.0,0.0,30781.3453985153,0.0,0.0,0.0
22.0,19082.955962038603,0.0,0.0,30476.66560932401,0.0,0.0,0.0
23.0,19082.955962038603,0.0,0.0,30577.97119902622,0.0,0.0,0.0
24.0,4133.096158608794,0.0,0.0,30814.80089453516,0.0,0.0,0.0
25.0,19082.955962038603,0.0,0.0,31537.85046553256,0.0,0.0,0.0
26.0,0.0,0.0,0.0,32814.55914873214,0.0,0.0,0.0
27.0,19082.955962038603,0.0,0.0,33706.999178524784,0.0,0.0,0.0
