DK,FR,DE,IB,LU,UK
0.0,0.0,3.83e8,0.0,0.0,1.016e8
0.0,0.0,1.79999188153694e8,0.0,0.0,0.0
0.0,6.589768012387301e7,0.0,0.0,0.0,1.016e8
0.0,0.0,4.839582346146553e7,0.0,0.0,1.016e8
0.0,0.0,4.839846115142772e7,0.0,0.0,1.016e8
0.0,0.0,4.838847056657957e7,0.0,0.0,1.016e8
0.0,0.0,4.839113625469818e7,0.0,0.0,1.016e8
0.0,2.6e8,0.0,0.0,0.0,0.0
0.0,0.0,3.83e8,0.0,0.0,1.016e8
0.0,6.592209690404387e7,0.0,0.0,0.0,1.016e8
0.0,7.162580475355278e7,3.83e8,0.0,0.0,0.0
0.0,6.592885469894338e7,1.704803218726578e8,0.0,0.0,1.016e8
0.0,0.0,3.83e8,0.0,0.0,1.016e8
0.0,2.6e8,0.0,0.0,0.0,0.0
0.0,0.0,4.840276441435098e7,0.0,0.0,1.016e8
0.0,6.591496891641027e7,0.0,0.0,0.0,1.016e8
0.0,2.6e8,0.0,0.0,0.0,0.0
0.0,6.5887782634174265e7,1.7051053330622193e8,0.0,0.0,1.016e8
0.0,2.6e8,0.0,0.0,0.0,0.0
0.0,6.588588347761461e7,1.7049958986879662e8,0.0,0.0,1.016e8
0.0,0.0,3.83e8,0.0,0.0,1.016e8
0.0,7.15843026623281e7,3.83e8,0.0,0.0,0.0
0.0,2.6e8,1.795950204038704e8,0.0,0.0,0.0
0.0,0.0,4.8394408545908056e7,0.0,0.0,1.016e8
0.0,0.0,4.839419782479026e7,0.0,0.0,1.016e8
0.0,0.0,4.839428960196734e7,0.0,0.0,1.016e8
0.0,0.0,3.83e8,0.0,0.0,1.016e8
0.0,6.590540119420047e7,0.0,0.0,0.0,1.016e8
0.0,2.6e8,1.795971422542508e8,0.0,0.0,0.0
0.0,7.159927801952681e7,3.83e8,0.0,0.0,0.0
0.0,2.6e8,1.7958908988336596e8,0.0,0.0,0.0
0.0,0.0,1.7998326958262122e8,0.0,0.0,0.0
0.0,0.0,3.83e8,0.0,0.0,1.016e8
0.0,0.0,3.83e8,0.0,0.0,0.0
0.0,6.5947563659638286e7,0.0,0.0,0.0,1.016e8
0.0,2.6e8,1.7962122437695193e8,0.0,0.0,0.0
0.0,0.0,1.7997470653016138e8,0.0,0.0,0.0
0.0,0.0,3.83e8,0.0,0.0,0.0
0.0,0.0,3.83e8,0.0,0.0,1.016e8
0.0,7.162114176757734e7,3.83e8,0.0,0.0,0.0
0.0,6.592126514518508e7,0.0,0.0,0.0,1.016e8
0.0,0.0,4.839825001800095e7,0.0,0.0,1.016e8
0.0,0.0,3.83e8,0.0,0.0,1.016e8
0.0,6.5894629480070055e7,1.705014264918228e8,0.0,0.0,1.016e8
0.0,0.0,4.839508251151339e7,0.0,0.0,1.016e8
0.0,6.5902992382930815e7,1.7049108164152876e8,0.0,0.0,1.016e8
0.0,7.15990848773972e7,3.83e8,0.0,0.0,0.0
0.0,0.0,1.7999586353467008e8,0.0,0.0,0.0
0.0,0.0,3.83e8,0.0,0.0,0.0
0.0,7.160328495397024e7,3.83e8,0.0,0.0,0.0
0.0,6.591861709080385e7,0.0,0.0,0.0,1.016e8
0.0,0.0,1.7997571072694445e8,0.0,0.0,0.0
