Hours,Lignite,Coal,Gas,WindOnshore,WindOffshore,PVGround,PVRoof
1.0,19037.370467029104,0.0,0.0,5601.206230656624,0.0,0.0,0.0
2.0,19037.370467029104,0.0,0.0,5351.627108430769,0.0,0.0,0.0
3.0,19037.370467029104,0.0,0.0,5127.093577056048,0.0,0.0,0.0
4.0,19037.370467029104,0.0,0.0,4732.168067436481,0.0,0.0,0.0
5.0,19037.370467029104,0.0,0.0,4319.478105249745,0.0,0.0,0.0
6.0,19037.370467029104,0.0,12596.636301767874,3935.4266516275675,0.0,0.0,0.0
7.0,19037.370467029104,0.0,12596.636301767874,2866.738533026736,0.0,0.0,0.0
8.0,19037.370467029104,0.0,12596.636301767874,2656.433718220032,0.0,0.0,0.0
9.0,19037.370467029104,0.0,0.0,2777.258680476768,0.0,0.0,0.0
10.0,19037.370467029104,0.0,0.0,2643.5201810802723,0.0,0.0,0.0
11.0,19037.370467029104,0.0,0.0,2511.335118254832,0.0,0.0,0.0
12.0,14192.284658879042,0.0,0.0,2636.1437399391843,0.0,0.0,0.0
13.0,19037.370467029104,0.0,0.0,2921.204115870816,0.0,0.0,0.0
14.0,19037.370467029104,0.0,0.0,3250.818577506048,0.0,0.0,0.0
15.0,19037.370467029104,0.0,0.0,3610.2151819912797,0.0,0.0,0.0
16.0,19037.370467029104,0.0,0.0,4004.978676753744,0.0,0.0,0.0
17.0,19037.370467029104,0.0,12596.636301767874,4352.205106384752,0.0,0.0,0.0
18.0,19037.370467029104,0.0,1859.8365265727043,5108.85261020328,0.0,0.0,0.0
19.0,19037.370467029104,0.0,12596.636301767874,6640.293281835985,0.0,0.0,0.0
20.0,19037.370467029104,0.0,12596.636301767874,7244.646819976752,0.0,0.0,0.0
21.0,19037.370467029104,0.0,12596.636301767874,7025.335885172208,0.0,0.0,0.0
22.0,19037.370467029104,0.0,12596.636301767874,6473.751539018784,0.0,0.0,0.0
23.0,19037.370467029104,0.0,0.0,6022.225662555648,0.0,0.0,0.0
