Hours,Lignite,Coal,Gas,WindOnshore,WindOffshore,PVGround,PVRoof
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,5059.049968957901,0.0,0.0,0.0,0.0,0.0,0.0
7.0,0.0,0.0,0.0,0.0,0.0,252.72996332265768,0.0
8.0,7747.043109164832,0.0,0.0,0.0,0.0,1998.2515766711467,0.0
9.0,0.0,0.0,0.0,0.0,0.0,5014.162472321528,0.0
10.0,0.0,0.0,0.0,0.0,0.0,8023.333902283306,0.0
11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,0.0,0.0,0.0,0.0,0.0,9994.627616200036,0.0
13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.0,0.0,0.0,0.0,0.0,0.0,5829.637820642637,0.0
15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16.0,0.0,0.0,0.0,0.0,0.0,926.6765321830782,0.0
17.0,0.0,0.0,0.0,0.0,0.0,3.369732844302103,0.0
18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31.0,1982.6728243604302,0.0,0.0,0.0,0.0,151.6379779935946,0.0
32.0,5079.8216316103935,0.0,0.0,0.0,0.0,1263.6498166132885,0.0
33.0,0.0,0.0,0.0,0.0,0.0,2884.4913147226,0.0
34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39.0,0.0,0.0,0.0,0.0,0.0,2304.897265502638,0.0
40.0,7747.043109164832,0.0,0.0,0.0,0.0,785.1477527223899,0.0
41.0,7747.043109164832,0.0,13598.939164680196,0.0,0.0,10.109198532906307,0.0
42.0,7747.043109164832,0.0,13598.939164680196,0.0,0.0,0.0,0.0
43.0,7747.043109164832,0.0,13598.939164680196,0.0,0.0,0.0,0.0
44.0,7747.043109164832,0.0,13598.939164680196,0.0,0.0,0.0,0.0
45.0,7747.043109164832,0.0,0.0,0.0,0.0,0.0,0.0
46.0,7747.043109164832,0.0,0.0,0.0,0.0,0.0,0.0
47.0,7747.043109164832,0.0,7327.1156558692455,0.0,0.0,0.0,0.0
48.0,7747.043109164832,0.0,2999.4830616414547,0.0,0.0,0.0,0.0
49.0,7747.043109164832,0.0,0.0,0.0,0.0,0.0,0.0
50.0,7747.043109164832,0.0,0.0,0.0,0.0,0.0,0.0
51.0,7747.043109164832,0.0,0.0,0.0,0.0,0.0,0.0
52.0,7747.043109164832,0.0,0.0,0.0,0.0,0.0,0.0
53.0,7747.043109164832,0.0,0.0,0.0,0.0,0.0,0.0
54.0,7747.043109164832,0.0,161.99622625112534,0.0,0.0,0.0,0.0
55.0,7747.043109164832,0.0,0.0,0.0,0.0,181.96557359231355,0.0
56.0,7747.043109164832,0.0,0.0,0.0,0.0,1748.8913461927914,0.0
57.0,7747.043109164832,0.0,11106.605319797993,0.0,0.0,4114.443802892867,0.0
58.0,0.0,0.0,0.0,0.0,0.0,6739.465688604206,0.0
59.0,0.0,0.0,0.0,0.0,0.0,9714.939790122962,0.0
60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63.0,0.0,0.0,0.0,0.0,0.0,4640.122126603995,0.0
64.0,0.0,0.0,0.0,0.0,0.0,1762.3702775699996,0.0
65.0,7747.043109164832,0.0,0.0,0.0,0.0,60.655191197437844,0.0
66.0,7747.043109164832,0.0,13598.939164680196,0.0,0.0,0.0,0.0
67.0,7747.043109164832,0.0,0.0,0.0,0.0,0.0,0.0
68.0,7747.043109164832,0.0,0.0,0.0,0.0,0.0,0.0
69.0,7747.043109164832,0.0,0.0,0.0,0.0,0.0,0.0
70.0,7747.043109164832,0.0,0.0,0.0,0.0,0.0,0.0
71.0,7747.043109164832,0.0,0.0,0.0,0.0,0.0,0.0
72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73.0,7747.043109164832,0.0,0.0,0.0,0.0,0.0,0.0
74.0,7747.043109164832,0.0,0.0,0.0,0.0,0.0,0.0
75.0,7747.043109164832,0.0,0.0,0.0,0.0,0.0,0.0
76.0,7747.043109164832,0.0,0.0,0.0,0.0,0.0,0.0
77.0,7747.043109164832,0.0,0.0,0.0,0.0,0.0,0.0
78.0,7747.043109164832,0.0,13598.939164680196,0.0,0.0,0.0,0.0
79.0,7747.043109164832,0.0,13598.939164680196,0.0,0.0,67.39465688604206,0.0
80.0,7747.043109164832,0.0,13598.939164680196,0.0,0.0,933.4159978716824,0.0
81.0,7747.043109164832,0.0,13598.939164680196,0.0,0.0,2318.3761968798467,0.0
82.0,7747.043109164832,0.0,13598.939164680196,0.0,0.0,3922.3690307676475,0.0
83.0,0.0,0.0,0.0,0.0,0.0,6786.641948424434,0.0
84.0,0.0,0.0,0.0,0.0,0.0,9155.564137968813,0.0
85.0,0.0,0.0,0.0,0.0,0.0,9441.991429734491,0.0
86.0,0.0,0.0,0.0,0.0,0.0,7898.653787044128,0.0
87.0,0.0,0.0,0.0,0.0,0.0,5179.279381692332,0.0
88.0,7747.043109164832,0.0,0.0,0.0,0.0,2072.385699245793,0.0
89.0,7747.043109164832,0.0,13598.939164680196,0.0,0.0,37.06706128732313,0.0
90.0,7747.043109164832,0.0,13598.939164680196,0.0,0.0,0.0,0.0
91.0,7747.043109164832,0.0,0.0,0.0,0.0,0.0,0.0
92.0,7747.043109164832,0.0,0.0,0.0,0.0,0.0,0.0
93.0,7747.043109164832,0.0,13598.939164680196,0.0,0.0,0.0,0.0
94.0,7747.043109164832,0.0,0.0,0.0,0.0,0.0,0.0
95.0,7747.043109164832,0.0,13598.939164680196,0.0,0.0,0.0,0.0
96.0,7747.043109164832,0.0,9570.337331309915,0.0,0.0,0.0,0.0
97.0,7747.043109164832,0.0,13598.939164680196,0.0,0.0,0.0,0.0
98.0,7747.043109164832,0.0,0.0,0.0,0.0,0.0,0.0
99.0,7747.043109164832,0.0,892.4581191837788,0.0,0.0,0.0,0.0
100.0,7747.043109164832,0.0,0.0,0.0,0.0,0.0,0.0
101.0,7747.043109164832,0.0,13598.939164680196,0.0,0.0,0.0,0.0
102.0,7747.043109164832,0.0,13598.939164680196,0.0,0.0,0.0,0.0
103.0,7747.043109164832,0.0,13598.939164680196,0.0,0.0,208.92343634673034,0.0
104.0,7747.043109164832,0.0,13598.939164680196,0.0,0.0,1947.7055840066153,0.0
105.0,7747.043109164832,0.0,0.0,0.0,0.0,5101.775526273384,0.0
106.0,7747.043109164832,0.0,0.0,0.0,0.0,8218.778407252828,0.0
107.0,0.0,0.0,0.0,0.0,0.0,10237.248380989788,0.0
108.0,0.0,0.0,0.0,0.0,0.0,11150.445981795658,0.0
109.0,0.0,0.0,0.0,0.0,0.0,10314.752236408736,0.0
110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113.0,3033.2954055070877,0.0,0.0,0.0,0.0,6.739465688604206,0.0
114.0,7747.043109164832,0.0,4533.785886049271,0.0,0.0,0.0,0.0
115.0,7747.043109164832,0.0,0.0,0.0,0.0,0.0,0.0
116.0,7747.043109164832,0.0,0.0,0.0,0.0,0.0,0.0
117.0,7747.043109164832,0.0,0.0,0.0,0.0,0.0,0.0
118.0,7747.043109164832,0.0,0.0,0.0,0.0,0.0,0.0
119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120.0,3062.0271824598312,0.0,0.0,0.0,0.0,0.0,0.0
121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123.0,3668.184255182743,0.0,0.0,0.0,0.0,0.0,0.0
124.0,5722.523987278342,0.0,0.0,0.0,0.0,0.0,0.0
125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
127.0,0.0,0.0,0.0,0.0,0.0,117.9406495505736,0.0
128.0,7425.683519355953,0.0,0.0,0.0,0.0,1347.893137720841,0.0
129.0,7747.043109164832,0.0,0.0,0.0,0.0,3295.5987217274565,0.0
130.0,0.0,0.0,0.0,0.0,0.0,5425.269879326385,0.0
131.0,0.0,0.0,0.0,0.0,0.0,7106.766568633135,0.0
132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
133.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
134.0,0.0,0.0,0.0,0.0,0.0,4876.003425705142,0.0
135.0,0.0,0.0,0.0,0.0,0.0,2621.6521528670355,0.0
136.0,7747.043109164832,0.0,0.0,0.0,0.0,791.8872184109941,0.0
137.0,7747.043109164832,0.0,13598.939164680196,0.0,0.0,3.369732844302103,0.0
138.0,7747.043109164832,0.0,13598.939164680196,0.0,0.0,0.0,0.0
139.0,7747.043109164832,0.0,0.0,0.0,0.0,0.0,0.0
140.0,7747.043109164832,0.0,13598.939164680196,0.0,0.0,0.0,0.0
141.0,7747.043109164832,0.0,0.0,0.0,0.0,0.0,0.0
142.0,7747.043109164832,0.0,0.0,0.0,0.0,0.0,0.0
143.0,7747.043109164832,0.0,0.0,0.0,0.0,0.0,0.0
144.0,7747.043109164832,0.0,0.0,0.0,0.0,0.0,0.0
145.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
146.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
147.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
148.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
149.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151.0,0.0,0.0,0.0,0.0,0.0,97.72225248476097,0.0
152.0,0.0,0.0,0.0,0.0,0.0,1634.3204294865197,0.0
153.0,0.0,0.0,0.0,0.0,0.0,4683.928653579923,0.0
154.0,0.0,0.0,0.0,0.0,0.0,7682.990885008794,0.0
155.0,0.0,0.0,0.0,0.0,0.0,9974.409219134222,0.0
156.0,0.0,0.0,0.0,0.0,0.0,10978.58960673625,0.0
157.0,0.0,0.0,0.0,0.0,0.0,10543.89406982128,0.0
158.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
159.0,0.0,0.0,0.0,0.0,0.0,5775.722095133804,0.0
160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
161.0,0.0,0.0,0.0,0.0,0.0,10.109198532906307,0.0
162.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
163.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
164.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
165.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
166.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
167.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
168.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
