DK,FR,DE,IB,LU,UK
0.0,0.0,2416.2765520000003,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0912155440361346e8,0.0,0.0,0.0
0.0,0.0,1.0912183745618945e8,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0912203815676746e8,0.0,0.0,0.0
0.0,0.0,803.5555281639099,0.0,0.0,0.0
0.0,0.0,4594.812566,0.0,0.0,0.0
0.0,0.0,1903.8862829208374,0.0,0.0,0.0
0.0,0.0,4378.7599900000005,0.0,0.0,0.0
0.0,0.0,4150.396557,0.0,0.0,0.0
0.0,0.0,4122.452551,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0912064735787345e8,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0911962239559646e8,0.0,0.0,0.0
0.0,0.0,2115.425884604454,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0912366172401404e8,0.0,0.0,0.0
0.0,0.0,1.0911988184377334e8,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0910774994429313e8,0.0,0.0,0.0
0.0,0.0,1.0911441221403036e8,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0910767254313713e8,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,4108.549686,0.0,0.0,0.0
0.0,0.0,1012.8503187894821,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0912150408132146e8,0.0,0.0,0.0
0.0,0.0,1.0911778606166968e8,0.0,0.0,0.0
0.0,0.0,1.0910743453512013e8,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0911940977953745e8,0.0,0.0,0.0
0.0,0.0,1.0911879702638346e8,0.0,0.0,0.0
0.0,0.0,1.0911834762180945e8,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0912369470476061e8,0.0,0.0,0.0
0.0,0.0,1.0912061315231425e8,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0911856546184446e8,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0911979828242746e8,0.0,0.0,0.0
0.0,0.0,1.0912051709157546e8,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0911560141007686e8,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0912104691215846e8,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0912095261273646e8,0.0,0.0,0.0
0.0,0.0,1.0912088353045446e8,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0912110327217346e8,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0912136869160046e8,0.0,0.0,0.0
0.0,0.0,1.0912101606988646e8,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0912236250703573e8,0.0,0.0,0.0
0.0,0.0,1.0912364734356853e8,0.0,0.0,0.0
0.0,0.0,1.0911958085616446e8,0.0,0.0,0.0
0.0,0.0,1.0911932578873546e8,0.0,0.0,0.0
0.0,0.0,1.091192011558964e8,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0911999626533745e8,0.0,0.0,0.0
0.0,0.0,1.0912023502190946e8,0.0,0.0,0.0
0.0,0.0,1.0912044999562146e8,0.0,0.0,0.0
0.0,0.0,1.0912063318647346e8,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0912164556538081e8,0.0,0.0,0.0
0.0,0.0,62.55733362399042,0.0,0.0,0.0
0.0,0.0,3194.898266,0.0,0.0,0.0
0.0,0.0,3252.572556,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0912104251560146e8,0.0,0.0,0.0
0.0,0.0,1.0912062124930346e8,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,2290.0791283249855,0.0,0.0,0.0
0.0,0.0,2233.826238,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,2168.942825,0.0,0.0,0.0
0.0,0.0,1.0911868079069862e8,0.0,0.0,0.0
0.0,0.0,1.0911974805161546e8,0.0,0.0,0.0
0.0,0.0,1.0911972734761946e8,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.091220453510439e8,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,2404.449133,0.0,0.0,0.0
0.0,0.0,1.0912298745397988e8,0.0,0.0,0.0
0.0,0.0,2758.733702,0.0,0.0,0.0
0.0,0.0,2998.261699,0.0,0.0,0.0
0.0,0.0,3161.924554,0.0,0.0,0.0
0.0,0.0,3263.100553,0.0,0.0,0.0
0.0,0.0,3269.830837,0.0,0.0,0.0
0.0,0.0,3263.898266,0.0,0.0,0.0
0.0,0.0,3267.100553,0.0,0.0,0.0
0.0,0.0,3253.789696,0.0,0.0,0.0
0.0,0.0,3212.452551,0.0,0.0,0.0
0.0,0.0,3123.429681,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
