DK,FR,DE,IB,LU,UK
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0705323208742674e8,0.0,0.0,0.0,0.0
0.0,1.0705787853309341e8,0.0,0.0,0.0,0.0
0.0,1.0705594076261519e8,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0699832113391218e8,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0702932434356305e8,0.0,0.0,0.0,0.0
0.0,1.0704950251428637e8,0.0,0.0,0.0,0.0
0.0,1.070527010783218e8,0.0,0.0,0.0,0.0
0.0,1.0706240009413023e8,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0708319911768337e8,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0708226893815915e8,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.070822590129443e8,0.0,0.0,0.0,0.0
0.0,1.070782697664904e8,0.0,0.0,0.0,0.0
0.0,1.0707535569565366e8,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0707626698929362e8,0.0,0.0,0.0,0.0
0.0,1.0707707952615353e8,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0703010093265055e8,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,5182.286781922303,0.0,0.0,0.0,0.0
0.0,805.8254429511726,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.070809706405469e8,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0708079292388962e8,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.070692375644412e8,0.0,0.0,0.0,0.0
0.0,1.0707568285432094e8,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.069902151363369e8,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0698806201127274e8,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,11235.25091333267,0.0,0.0,0.0,0.0
0.0,15895.154383721598,0.0,0.0,0.0,0.0
0.0,10537.8099728544,0.0,0.0,0.0,0.0
0.0,9675.723202511668,0.0,0.0,0.0,0.0
0.0,17811.928071022034,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,20071.364308205695,0.0,0.0,0.0,0.0
0.0,1.0708231392292802e8,0.0,0.0,0.0,0.0
0.0,23341.696009341627,0.0,0.0,0.0,0.0
0.0,2476.036689650704,0.0,0.0,0.0,0.0
0.0,3745.789653658867,0.0,0.0,0.0,0.0
0.0,3630.573011183571,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0703598149874452e8,0.0,0.0,0.0,0.0
0.0,1.0700195638124745e8,0.0,0.0,0.0,0.0
0.0,1.069893940810036e8,0.0,0.0,0.0,0.0
0.0,1.0699375185349463e8,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0700356393223408e8,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,3566.870168090778,0.0,0.0,0.0,0.0
0.0,3309.8530351772697,0.0,0.0,0.0,0.0
0.0,1810.4997841278655,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.070783219363447e8,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0707073596663213e8,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0707350422122872e8,0.0,0.0,0.0,0.0
0.0,1.0707110902635066e8,0.0,0.0,0.0,0.0
0.0,1.0706194108874634e8,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0696417992648236e8,0.0,0.0,0.0,0.0
0.0,1.0696765292228875e8,0.0,0.0,0.0,0.0
0.0,1.0698526246188805e8,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,178.67147876877243,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0706979642848863e8,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0706242647790027e8,0.0,0.0,0.0,0.0
0.0,1.0706157488652007e8,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0705230917550227e8,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0697865315682569e8,0.0,0.0,0.0,0.0
0.0,1.0696974756972332e8,0.0,0.0,0.0,0.0
0.0,1.0697637300422849e8,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.070650188694959e8,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0706932918969342e8,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0707192154451926e8,0.0,0.0,0.0,0.0
0.0,1.0706462550080493e8,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0705754344694215e8,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0705571280063295e8,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0706402550310582e8,0.0,0.0,0.0,0.0
0.0,1.0706661968384509e8,0.0,0.0,0.0,0.0
0.0,1.0707257482043028e8,0.0,0.0,0.0,0.0
0.0,1.0706595915987098e8,0.0,0.0,0.0,0.0
0.0,1.0703894684262611e8,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0700699120110984e8,0.0,0.0,0.0,0.0
0.0,1.0701836239460193e8,0.0,0.0,0.0,0.0
0.0,1.0702547391211331e8,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0704655100255676e8,0.0,0.0,0.0,0.0
0.0,1.0706302252490813e8,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0707092089061312e8,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0707396317867792e8,0.0,0.0,0.0,0.0
0.0,1.0707139801744935e8,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
