Hours,Lignite,Coal,Gas,WindOnshore,WindOffshore,PVGround,PVRoof
1.0,0.0,0.0,0.0,20653.884208278894,0.0,0.0,0.0
2.0,7761.035648940762,0.0,0.0,19554.991651043543,0.0,0.0,0.0
3.0,7761.035648940762,0.0,10443.572499752045,18720.89248109382,0.0,0.0,0.0
4.0,7761.035648940762,0.0,0.0,18098.628020972592,0.0,0.0,0.0
5.0,7761.035648940762,0.0,13628.655263528983,17198.33050420146,0.0,0.0,0.0
6.0,7761.035648940762,0.0,13628.655263528983,16529.727201305257,0.0,0.0,0.0
7.0,7761.035648940762,0.0,5292.2264322936535,16079.57844291969,0.0,0.0,0.0
8.0,7761.035648940762,0.0,0.0,15119.702414009293,0.0,0.0,0.0
9.0,7761.035648940762,0.0,13628.655263528983,13974.471013998957,0.0,0.0,0.0
10.0,394.27435103058815,0.0,0.0,13060.933827863544,0.0,0.0,0.0
11.0,0.0,0.0,0.0,13173.471017459937,0.0,0.0,0.0
12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.0,0.0,0.0,0.0,14272.363574695288,0.0,0.0,0.0
14.0,0.0,0.0,0.0,14702.65282903443,0.0,0.0,0.0
15.0,0.0,0.0,0.0,14676.173490305868,0.0,0.0,0.0
16.0,2868.772002801299,0.0,0.0,14795.3305145844,0.0,0.0,0.0
17.0,7761.035648940762,0.0,9952.156612604856,14007.570187409661,0.0,0.0,0.0
18.0,7761.035648940762,0.0,5647.169810295105,14861.528861405806,0.0,0.0,0.0
19.0,7761.035648940762,0.0,12387.38538376987,16754.80158049804,0.0,0.0,0.0
20.0,7761.035648940762,0.0,1610.646797940135,18548.77677935816,0.0,0.0,0.0
21.0,7761.035648940762,0.0,13628.655263528983,19872.743715786295,0.0,0.0,0.0
22.0,7761.035648940762,0.0,0.0,20164.016441800482,0.0,0.0,0.0
23.0,7761.035648940762,0.0,0.0,20197.115615211187,0.0,0.0,0.0
24.0,7761.035648940762,0.0,0.0,20236.834623304032,0.0,0.0,0.0
25.0,137.62331223487854,0.0,0.0,20634.02470423247,0.0,0.0,0.0
26.0,0.0,0.0,0.0,21799.11560828923,0.0,0.0,0.0
27.0,0.0,0.0,0.0,23394.49576668513,0.0,0.0,0.0
28.0,0.0,0.0,0.0,24744.94204184183,0.0,0.0,0.0
29.0,0.0,0.0,0.0,26313.84286150917,0.0,0.0,0.0
30.0,0.0,0.0,0.0,28458.669298522746,0.0,0.0,0.0
31.0,4050.22074906528,0.0,0.0,32020.14035751443,0.0,0.0,0.0
32.0,0.0,0.0,0.0,35528.65273904898,0.0,0.0,0.0
33.0,0.0,0.0,0.0,38044.18991826243,0.0,0.0,0.0
34.0,0.0,0.0,0.0,44002.041132189035,0.0,0.0,0.0
35.0,0.0,0.0,0.0,45703.33864549919,0.0,0.0,0.0
36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37.0,0.0,0.0,0.0,42572.156840846656,0.0,0.0,0.0
38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.0,0.0,0.0,0.0,35886.12381188458,0.0,0.0,0.0
41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42.0,0.0,0.0,0.0,36687.1238084236,0.0,0.0,0.0
43.0,0.0,0.0,0.0,38163.34694254097,0.0,0.0,0.0
44.0,0.0,0.0,0.0,40731.84279921155,0.0,0.0,0.0
45.0,0.0,0.0,0.0,44955.2973264173,0.0,0.0,0.0
46.0,0.0,0.0,0.0,49661.99978541931,0.0,0.0,0.0
47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49.0,0.0,0.0,0.0,52607.82621897191,0.0,0.0,0.0
50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53.0,0.0,0.0,0.0,47285.47913453082,0.0,0.0,0.0
54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55.0,0.0,0.0,0.0,47815.06590910207,0.0,0.0,0.0
56.0,0.0,0.0,0.0,47742.247727598515,0.0,0.0,0.0
57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58.0,0.0,0.0,0.0,51886.26423861858,0.0,0.0,0.0
59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61.0,0.0,0.0,0.0,55818.44603981014,0.0,0.0,0.0
62.0,0.0,0.0,0.0,55692.66918084947,0.0,0.0,0.0
63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65.0,0.0,0.0,0.0,54514.33860742843,0.0,0.0,0.0
66.0,0.0,0.0,0.0,54262.78488950708,0.0,0.0,0.0
67.0,0.0,0.0,0.0,54289.26422823565,0.0,0.0,0.0
68.0,0.0,0.0,0.0,54467.99976465344,0.0,0.0,0.0
69.0,0.0,0.0,0.0,54481.23943401772,0.0,0.0,0.0
70.0,0.0,0.0,0.0,54679.83447448194,0.0,0.0,0.0
71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75.0,0.0,0.0,0.0,55182.94191032463,0.0,0.0,0.0
76.0,0.0,0.0,0.0,54269.40472418922,0.0,0.0,0.0
77.0,0.0,0.0,0.0,52667.40473111118,0.0,0.0,0.0
78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80.0,0.0,0.0,0.0,47881.26425592348,0.0,0.0,0.0
81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82.0,0.0,0.0,0.0,49933.41300738708,0.0,0.0,0.0
83.0,0.0,0.0,0.0,51707.52870220078,0.0,0.0,0.0
84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87.0,0.0,0.0,0.0,54560.67745020342,0.0,0.0,0.0
88.0,0.0,0.0,0.0,52303.313823593446,0.0,0.0,0.0
89.0,0.0,0.0,0.0,50317.36341895124,0.0,0.0,0.0
90.0,0.0,0.0,0.0,48655.78491373393,0.0,0.0,0.0
91.0,0.0,0.0,0.0,46855.18988019167,0.0,0.0,0.0
92.0,0.0,0.0,0.0,45134.03286283509,0.0,0.0,0.0
93.0,0.0,0.0,0.0,43300.33865588213,0.0,0.0,0.0
94.0,7761.035648940762,0.0,0.0,42631.735352985925,0.0,0.0,0.0
95.0,7761.035648940762,0.0,0.0,42499.338659343106,0.0,0.0,0.0
96.0,7761.035648940762,0.0,0.0,42108.76841309681,0.0,0.0,0.0
97.0,3433.7321797311306,0.0,0.0,41446.78494488274,0.0,0.0,0.0
98.0,4514.054220914841,0.0,0.0,40427.33040383308,0.0,0.0,0.0
99.0,5081.686567693949,0.0,0.0,39533.65272174408,0.0,0.0,0.0
100.0,7761.035648940762,0.0,0.0,38461.239503237295,0.0,0.0,0.0
101.0,1674.5795220434666,0.0,0.0,36548.107280098644,0.0,0.0,0.0
102.0,7761.035648940762,0.0,0.0,34575.396544820724,0.0,0.0,0.0
103.0,7761.035648940762,0.0,0.0,33032.975063881946,0.0,0.0,0.0
104.0,7761.035648940762,0.0,0.0,31285.338707796815,0.0,0.0,0.0
105.0,7171.939448848367,0.0,0.0,31047.024659239745,0.0,0.0,0.0
106.0,0.0,0.0,0.0,35032.165137888434,0.0,0.0,0.0
107.0,0.0,0.0,0.0,26254.23675480485,0.0,0.0,0.0
108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112.0,0.0,0.0,0.0,31543.512260400297,0.0,0.0,0.0
113.0,0.0,0.0,0.0,27439.21475747308,0.0,0.0,0.0
114.0,0.0,0.0,0.0,26618.35525688764,0.0,0.0,0.0
115.0,4345.0470674932,0.0,0.0,25876.933772487886,0.0,0.0,0.0
116.0,4894.081455156207,0.0,0.0,25056.074271902442,0.0,0.0,0.0
117.0,7761.035648940762,0.0,554.8915277570486,24976.636255716752,0.0,0.0,0.0
118.0,1011.1856777518988,0.0,0.0,25102.413114677423,0.0,0.0,0.0
119.0,7761.035648940762,0.0,0.0,25221.570138955958,0.0,0.0,0.0
120.0,7761.035648940762,0.0,0.0,24817.760223345376,0.0,0.0,0.0
121.0,0.0,0.0,0.0,23460.69411350654,0.0,0.0,0.0
122.0,1085.2782877385616,0.0,0.0,22898.00816552458,0.0,0.0,0.0
123.0,0.0,0.0,0.0,22275.743705403358,0.0,0.0,0.0
124.0,7761.035648940762,0.0,0.0,21348.966849903663,0.0,0.0,0.0
125.0,0.0,0.0,0.0,20799.520571285986,0.0,0.0,0.0
126.0,4272.9861066788435,0.0,0.0,20355.991647582563,0.0,0.0,0.0
127.0,7761.035648940762,0.0,0.0,19713.86768341492,0.0,0.0,0.0
128.0,0.0,0.0,0.0,17787.495790911984,0.0,0.0,0.0
129.0,0.0,0.0,0.0,16403.950342344582,0.0,0.0,0.0
130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
131.0,0.0,0.0,0.0,18820.19000132593,0.0,0.0,0.0
132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
133.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
134.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
136.0,0.0,0.0,0.0,18436.23958976177,0.0,0.0,0.0
137.0,7761.035648940762,0.0,0.0,16562.826374715958,0.0,0.0,0.0
138.0,7761.035648940762,0.0,13628.655263528983,18701.032977047395,0.0,0.0,0.0
139.0,7761.035648940762,0.0,13628.655263528983,21660.099079964275,0.0,0.0,0.0
140.0,7761.035648940762,0.0,0.0,23473.933782870823,0.0,0.0,0.0
141.0,7761.035648940762,0.0,13628.655263528983,24705.223033748982,0.0,0.0,0.0
